cap_unit,cap_includes_presale,token_type,total_number_of_tokens,token_standard,additional_token_emissions,Crowdsale is auction,Has a presale,Development road map available,Whitepaper page count,Product or prototype developed,Product can be tried out,Years since foundation,Issuer has customers for product,Business model available,Smart contract code available,Project code available,Use of proceeds mentioned,Use of proceeds disclosed in detail,Token share team (ex ante),Token share producers/miners (ex ante),Unsold tokens 'burnt' or proportional allocation,Unsold tokens kept by issuer,vc_support_general,vc_support_blockchain_specialist,Investors have governance rights,Experienced team,Team member with business background,advisor_quality,legal_structure,registration_country,Independent custodian for ICO funds,portfolio_converted_into_fiat,Funding milestones,Qualified investors only,Simple agreement for future tokens (SAFT),KYC/AML procedure,US retail investors excluded,Investors from other (non-US) jurisdictions excluded,Legal advisor disclosed,Financial advisor disclosed,air_drop_after_ICO ,industry,Total amount raised (USDm),BTC_ret_ico_period,Fundraiser has maximum ('hard cap'),Fundraiser has minimum ('soft cap'),soft_cap_unit,hard_cap_unit,price_crowdsale,Crowdsale max. discount (%),US_qualified_only,Team business background missing,Team experience missing,Team tokens locked up,issued_on_other_platf,Legal form and jurisdiction known,Postal address known,Registered in offshore financial center,switzerland,is_ethereum,Is cryptographic token,Has VC backing,has_generalist_vc,has_specialist_vc,Unknown or low quality advisors,High quality advisory team,Token supply is fixed,Celebrity endorsement,Is a security,Is a utility token,token_is_cryptocurrency,token_is_new_blockchain,Is currency or general purpose blockchain,Decentralised platform,Legal entity is foundation,Legal entity is corporation,Legal entity is LLC,"Length of crowdsale (calendar days, actual)","Length of crowdsale (calendar days, planned)",presale_transparent,industry.1,length_of_ico
USD,1,Utility-token,1491492558.0,ERC-20,0,0,1,1,46.0,1,1,2,1,0,1.0,0,1,0,0.0,0.0,0,1,Right Side Capital Management; Techstars; Project 11 Ventures; NXT ventures; Launch Capital,No,0,0,0,medium,joint-stock corporation,United States,0,0,0,0,0,1,0,1,0,0,0,Finance,15.0,0,1,1,USD,USD,0.0,23.0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,8,72.0,0,Finance,7
ETH,1,Utility-token,75209200.0,ERC-20,1,0,0,1,26.0,0,0,0,0,1,1.0,1,1,0,1.0,0.0,1,0,No,No,0,0,1,unknown,joint-stock corporation,Japan,0,0,0,0,0,0,0,0,0,0,0,Social Networks,4.0,0,1,1,ETH,ETH,0.0,31.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,29,29.0,1,Social Networks,28
ETH,1,Utility-token,1151773038.0,ERC-20,0,0,1,1,37.0,0,0,1,0,1,1.0,0,1,1,1.0,0.0,1,0,No,No,0,1,1,high,limited liability partnership,Switzerland,0,0,0,0,0,1,1,0,0,0,0,Provenance & Notary,56.0,1,1,0,ETH,ETH,0.0,0.0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,34,31.0,1,Provenance & Notary,33
USD,0,Utility-token,245000000.0,ERC-20,0,0,1,1,45.0,1,1,2,1,0,1.0,1,1,0,1.0,0.0,1,0,Catagonia Limited,No,0,1,1,high,joint-stock corporation,Singapore,0,0,0,0,0,1,1,1,0,0,1,Marketplaces,17.0,0,1,1,USD,USD,0.0,20.0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,8,34.0,0,Marketplaces,7
tokens,1,Utility-token,25000000.0,ERC-20,0,0,1,1,28.0,1,1,2,0,1,0.0,0,1,0,0.0,0.0,1,0,No,No,1,0,0,low,joint-stock corporation,United Kingdom,0,0,0,0,0,1,1,1,0,0,0,Trading & Exchanges,16.0,0,1,1,tokens,tokens,1.0,0.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,37,37.0,1,Trading & Exchanges,36
USD,1,Security,54175041.0,ERC-20,0,0,1,1,40.0,1,1,1,0,1,1.0,0,1,0,0.0,0.0,1,0,No,No,1,1,0,high,joint-stock corporation,British Virgin Islands,0,0,0,0,0,0,1,1,1,0,0,Real Estate,7.0,0,1,1,USD,USD,1.0,16.0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,55,55.0,1,Real Estate,54
tokens,1,Utility-token,10000000.0,ERC-20,0,0,1,1,18.0,1,1,1,0,1,1.0,0,0,0,0.0,0.0,1,0,No,Global Advisors,1,0,0,unknown,joint-stock corporation,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,Events & Entertainment,20.0,0,1,1,tokens,tokens,4.0,0.0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,8.0,1,Events & Entertainment,0
USD,1,Utility-token,350000000.0,ERC-223,0,0,0,1,24.0,0,0,1,0,0,1.0,1,0,0,0.0,0.0,1,0,No,No,0,1,0,high,unknown,Singapore,0,0,0,0,0,1,0,1,0,0,0,Finance,20.0,0,1,1,USD,USD,0.0,30.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,5,74.0,1,Finance,4
EUR,1,Utility-token,19822337.0,ERC-20,0,0,1,1,37.0,1,1,3,1,1,0.0,0,1,0,0.0,0.0,1,0,No,No,0,1,1,high,limited liability partnership,United Kingdom,0,0,0,0,0,0,1,1,0,1,0,Trading & Exchanges,10.0,1,1,1,EUR,EUR,1.0,15.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,47,47.0,1,Trading & Exchanges,46
tokens,1,Utility-token,79300000.0,ERC-20,0,0,0,0,13.0,0,0,4,0,0,0.0,1,1,0,1.0,0.0,1,0,No,Blockchain Capital; Draper Associates,0,1,1,high,foundation,Switzerland,1,0,0,0,0,0,0,0,0,0,0,Trading & Exchanges,159.0,0,1,0,tokens,tokens,4.0,0.0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,15.0,1,Trading & Exchanges,0
ETH,1,Utility-token,400000000.0,ERC-20,0,0,1,1,36.0,1,1,2,1,1,1.0,0,1,0,1.0,0.0,0,1,No,No,0,1,1,high,unknown,Cayman Islands,0,0,0,0,0,1,1,0,0,0,0,Finance,74.0,0,1,1,ETH,ETH,1.0,9.0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,29,31.0,0,Finance,28
ETH,1,Utility-token,1500000000.0,ERC-20,0,0,0,1,37.0,1,1,1,1,0,1.0,1,1,0,0.0,0.0,0,1,Foundation Capital; Founders Fund; Propel Venture Partners; Danhua Capital,Huiyin Blockchain Venture; Pantera capital; Digital Currency Group; Digital Finance Group,0,1,1,high,joint-stock corporation,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,Commerce & Advertising,36.0,0,1,1,ETH,ETH,0.0,0.0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1.0,1,Commerce & Advertising,0
tokens,1,Security,6670017.0,ERC-20,0,0,0,1,40.0,1,1,2,1,1,0.0,0,0,0,0.0,0.0,0,1,No,No,0,0,1,unknown,joint-stock corporation,Estonia,0,0,0,0,0,1,0,0,1,0,0,Gambling & Betting,5.0,1,1,0,tokens,tokens,1.0,23.0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,117,117.0,1,Gambling & Betting,116
USD,0,Utility-token,1374729257.0,ERC-20,0,0,1,0,36.0,1,1,3,1,1,1.0,0,0,0,1.0,0.0,0,1,No,Tim Draper,0,0,1,high,joint-stock corporation,United States,0,0,0,0,0,0,0,0,0,0,1,Communications,12.0,1,1,1,USD,USD,0.0,0.0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,35,1.0,1,Communications,34
USD,1,Cryptocurrency,2000000000.0,ERC-20,0,0,1,1,51.0,1,1,1,0,0,1.0,1,1,0,1.0,0.0,1,0,No,No,0,1,1,high,joint-stock corporation,Singapore,0,0,0,0,0,1,1,1,1,1,1,Search,26.0,0,1,0,USD,USD,0.0,0.0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,31,1.0,0,Search,30
ETH,1,Utility-token,660000000.0,ERC-20,0,0,0,1,36.0,1,1,1,0,1,1.0,0,1,0,0.0,0.0,0,1,No,No,0,1,1,neutral,joint-stock corporation,Lithuania,0,0,0,0,0,1,0,0,1,1,1,Online-learning,23.0,0,1,1,ETH,ETH,0.0,13.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,30,30.0,1,Online-learning,29
tokens,0,Security,100000000.0,ERC-223,0,1,1,1,24.0,1,1,1,1,1,1.0,1,1,0,0.0,0.0,0,1,No,No,0,0,0,unknown,joint-stock corporation,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,Gambling & Betting,9.0,0,1,0,tokens,tokens,0.0,13.0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,32,32.0,1,Gambling & Betting,31
ETH,1,Utility-token,222295208.0,ERC-20,0,0,0,1,24.0,0,0,0,0,1,1.0,0,0,0,0.0,0.0,1,0,No,No,0,0,0,unknown,joint-stock corporation,Singapore,0,0,0,0,0,1,1,1,0,0,0,Finance,0.0,0,1,1,ETH,ETH,0.0,73.0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,19,19.0,1,Finance,18
USD,1,Security,60000000.0,ERC-20,0,0,1,1,10.0,1,0,3,1,0,1.0,0,0,0,1.0,0.0,1,0,No,No,0,0,1,high,joint-stock corporation,Cayman Islands,0,0,0,0,0,1,1,1,0,0,0,Finance,30.0,0,1,0,USD,USD,1.0,9.0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,2,30.0,1,Finance,1
USD,1,Utility-token,88409933.0,ERC-20,0,0,1,1,33.0,1,1,1,0,0,1.0,1,1,0,0.0,0.0,0,1,No,No,0,1,0,high,limited liability partnership,United States,0,0,0,0,0,1,0,1,0,0,0,Data Analytics,8.0,0,1,1,USD,USD,0.0,23.0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,18,24.0,0,Data Analytics,17
ETH,1,Utility-token,9200151.0,ERC-20,0,0,0,1,21.0,0,0,0,0,1,1.0,0,1,0,0.0,0.0,1,0,No,No,1,0,0,neutral,joint-stock corporation,Canada,0,0,1,0,0,0,0,0,0,0,0,Payments,7.0,1,1,1,ETH,ETH,1.0,9.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,35,33.0,1,Payments,34
USD,1,Utility-token,62500000.0,ERC-20,0,0,1,1,9.0,0,0,1,0,1,1.0,1,0,0,0.0,0.0,1,0,No,No,1,0,0,low,joint-stock corporation,Netherlands,0,0,1,0,0,0,1,0,0,0,0,Events & Entertainment,7.0,0,1,1,USD,USD,0.0,17.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,22,19.0,1,Events & Entertainment,21
USD,0,Utility-token,3646271241.0,ERC-20,0,1,1,1,27.0,1,0,1,1,1,1.0,0,1,0,1.0,0.0,1,0,No,No,0,1,1,neutral,joint-stock corporation,Switzerland,0,0,0,0,0,1,0,0,0,1,0,Blockchain Infrastructure,22.0,0,1,0,USD,USD,0.0,0.0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,40,40.0,1,Blockchain Infrastructure,39
USD,1,Utility-token,150000000.0,ERC-20,0,0,1,1,17.0,1,0,1,0,0,0.0,0,0,0,1.0,0.0,0,1,No ,Pantera Capital,0,1,1,high,joint-stock corporation,Gibraltar,0,0,0,0,0,1,0,0,0,0,0,Finance,40.0,0,1,1,USD,USD,1.0,0.0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,33,33.0,0,Finance,32
USD,1,Utility-token,500000000.0,ERC-20,0,0,1,1,42.0,0,0,3,0,0,1.0,0,1,0,1.0,0.0,0,1,Global Brains; True Global Ventures; LUN partners,Kenetic Capital,0,1,1,high,joint-stock corporation,Singapore,0,0,0,0,0,1,0,1,1,1,0,Data Analytics,16.0,0,1,0,USD,USD,0.0,0.0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,4,4.0,1,Data Analytics,3
USD,1,Utility-token,500000000.0,ERC-20,0,0,1,1,25.0,1,1,0,0,1,1.0,0,0,0,1.0,0.0,0,1,No,No,1,0,0,neutral,joint-stock corporation,Cayman Islands,0,0,0,0,0,0,1,1,0,0,0,Search,2.0,0,1,1,USD,USD,0.0,0.0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2,18.0,1,Search,1
USD,1,Utility-token,88894087.0,ERC-20,0,0,1,1,15.0,1,1,4,1,1,1.0,1,0,0,0.0,0.0,1,0,Saison Ventures; OKWave; Liberty City Ventures; Globe Advisors; East Ventures; Das Capital,No,0,1,1,neutral,joint-stock corporation,Cayman Islands,0,0,0,0,0,1,0,0,1,1,1,Payments,44.0,0,1,0,USD,USD,1.0,20.0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,11,11.0,1,Payments,10
ETH,0,Security,71349626.0,ERC-20,0,0,1,1,37.0,1,1,0,1,1,1.0,0,1,0,0.0,0.0,1,0,No,No,0,1,1,medium,joint-stock corporation,Russian Federation,0,0,0,0,0,0,1,1,0,0,0,Marketplaces,9.0,0,1,0,ETH,ETH,0.0,13.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,33,31.0,1,Marketplaces,32
USD,1,New Blockchain,1000000000.0,ERC-20,0,0,1,1,33.0,1,1,1,1,1,1.0,1,1,0,0.0,0.0,1,0,No,No,1,1,1,high,joint-stock corporation,Estonia,0,0,0,0,0,1,1,0,0,0,0,Finance,14.0,1,1,1,USD,USD,0.0,29.0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,31,31.0,0,Finance,30
ETH,1,unknown,100000000.0,ERC-20,0,0,1,1,18.0,0,0,2,0,0,1.0,0,0,0,0.0,0.0,0,1,No,No,0,0,0,low,joint-stock corporation,United States,0,0,0,0,0,0,0,0,0,0,0,Payments,36.0,0,1,0,ETH,ETH,1.0,0.0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,14,17.0,1,Payments,13
ETH,1,Utility-token,1000000000.0,ERC-223,0,0,1,0,38.0,1,0,3,0,0,0.0,1,0,0,0.0,0.0,0,1,No,No,0,0,0,high,joint-stock corporation,United States,0,0,0,0,0,0,0,0,0,0,0,Blockchain Infrastructure,32.0,0,1,0,ETH,ETH,0.0,28.0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,31.0,0,Blockchain Infrastructure,0
ETH,1,Cryptocurrency,79184116.0,ERC-20,0,0,1,1,12.0,1,1,1,0,0,1.0,0,1,0,1.0,0.0,0,1,No,No,0,1,0,high,joint-stock corporation,Estonia,1,1,0,0,0,1,1,1,0,0,0,Finance,17.0,0,1,0,ETH,ETH,1.0,17.0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,31,31.0,1,Finance,30
BTC,1,Security,710113.0,ERC-20,0,0,0,0,9.0,0,0,0,0,1,1.0,1,0,0,0.0,0.0,1,0,No,No,0,1,1,low,joint-stock corporation,Australia,0,0,0,0,0,0,0,0,0,0,0,Marketplaces,5.0,0,0,1,BTC,BTC,10.0,0.0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,64,64.0,1,Marketplaces,63
USD,1,Utility-token,2000000004.0,ERC-20,0,0,0,1,37.0,1,1,2,1,0,1.0,1,1,0,0.0,0.0,0,1,Starta Accelerator,Bitfin Capital; Token Fund,0,0,1,high,joint-stock corporation,Gibraltar,0,0,0,0,0,1,1,1,1,0,0,Finance,17.0,0,1,0,USD,USD,0.0,0.0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,33,33.0,1,Finance,32
USD,1,Utility-token,1000000000.0,ERC-20,0,0,1,1,18.0,1,1,2,0,0,1.0,1,1,0,1.0,0.0,0,1,Propel Venture Partners,Blockchain Capital; Pantera Capital; Digital Currency Group,0,1,1,high,joint-stock corporation,United States,0,0,0,0,0,1,0,0,0,0,0,Identity & Reputation,33.0,0,1,0,USD,USD,0.0,0.0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,8,2.0,1,Identity & Reputation,7
USD,0,Utility-token,100000000.0,ERC-223,1,0,1,1,41.0,1,0,0,0,1,0.0,1,1,0,1.0,0.0,0,1,No,No,0,0,0,low,joint-stock corporation,Gibraltar,0,0,0,0,0,1,1,1,0,0,0,Media,3.0,1,1,1,USD,USD,6.0,75.0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,33,33.0,1,Media,32
tokens,0,Security,1000000000.0,ERC-20,0,0,1,1,18.0,0,0,0,0,1,0.0,0,1,0,0.0,0.0,0,1,Infinity Ventures,No,0,0,1,neutral,joint-stock corporation,Cayman Islands,0,0,0,0,0,0,1,1,0,1,0,Trading & Exchanges,14.0,0,1,0,tokens,tokens,0.0,29.0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,40,40.0,0,Trading & Exchanges,39
ETH,1,Utility-token,500000000.0,ERC-20,0,1,0,1,17.0,0,0,0,0,1,0.0,0,1,0,1.0,0.0,1,0,No,No,0,1,1,high,joint-stock corporation,British Virgin Islands,0,0,0,0,0,0,0,0,1,1,0,Finance,15.0,0,1,1,ETH,ETH,0.0,92.0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,4,32.0,1,Finance,3
tokens,0,Utility-token,53000748.0,ERC-20,0,0,1,1,29.0,0,0,2,0,1,1.0,0,0,0,0.0,0.0,1,0,Catagonia Limited,No,0,1,1,high,joint-stock corporation,Germany,0,0,0,0,0,0,1,1,0,0,0,Privacy & Security,15.0,-1,1,1,tokens,tokens,1.0,20.0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,32,32.0,0,Privacy & Security,31
ETH,0,Utility-token,20000000.0,ERC-20,0,0,1,1,41.0,1,1,0,0,1,1.0,0,1,0,0.0,0.0,1,0,No,No,0,1,1,unknown,joint-stock corporation,Gibraltar,0,0,0,0,0,0,1,1,0,0,0,Finance,20.0,1,1,0,ETH,ETH,1.0,35.0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,38,53.0,1,Finance,37
USD,1,Security,11169314.0,ERC-20,0,0,1,1,48.0,1,1,1,0,1,0.0,0,1,0,0.0,0.0,1,0,No,No,1,0,1,neutral,joint-stock corporation,Estonia,0,0,0,0,0,0,1,1,1,0,0,Finance,7.0,0,1,1,USD,USD,1.0,13.0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,73,73.0,0,Finance,72
USD,1,Utility-token,300000000.0,ERC-20,0,0,1,0,35.0,1,0,5,0,1,1.0,0,0,0,0.0,0.0,1,0,No,No,0,1,1,high,joint-stock corporation,Estonia,0,0,0,0,0,1,0,0,1,0,0,Payments,55.0,1,1,1,USD,USD,0.0,25.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,67,74.0,0,Payments,66
tokens,1,Security,86206896.0,ERC-20,0,0,1,1,16.0,1,1,0,0,0,0.0,0,1,0,0.0,0.0,1,0,No,No,0,1,1,high,joint-stock corporation,Cayman Islands,0,0,0,0,0,1,1,1,1,0,0,Finance,35.0,1,1,1,tokens,tokens,1.0,9.0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,46,46.0,1,Finance,45
tokens,1,Security,90414745.0,ERC-20,0,0,0,0,28.0,1,1,5,1,1,1.0,0,0,0,0.0,0.0,1,0,No,Seedcoin,0,0,0,neutral,foundation,Cayman Islands,0,0,0,0,0,1,1,1,0,0,0,Payments,18.0,0,1,0,tokens,tokens,0.0,23.0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,36,36.0,1,Payments,35
BTC,1,Utility-token,10000000.0,Waves,0,0,0,0,10.0,1,1,0,0,0,0.0,0,0,0,0.0,0.0,1,0,No,No,0,0,0,unknown,joint-stock corporation,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,Trading & Exchanges,3.0,0,1,0,BTC,BTC,0.0,13.0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,33,33.0,1,Trading & Exchanges,32
