cap_unit,cap_includes_presale,token_type,total_number_of_tokens,token_standard,additional_token_emissions,Crowdsale is auction,Has a presale,Development road map available,Whitepaper page count,Product or prototype developed,Product can be tried out,Years since foundation,Issuer has customers for product,Business model available,Smart contract code available,Project code available,Use of proceeds mentioned,Use of proceeds disclosed in detail,Token share team (ex ante),Token share producers/miners (ex ante),Unsold tokens 'burnt' or proportional allocation,Unsold tokens kept by issuer,vc_support_general,vc_support_blockchain_specialist,Investors have governance rights,Experienced team,Team member with business background,advisor_quality,legal_structure,registration_country,Independent custodian for ICO funds,portfolio_converted_into_fiat,Funding milestones,Qualified investors only,Simple agreement for future tokens (SAFT),KYC/AML procedure,US retail investors excluded,Investors from other (non-US) jurisdictions excluded,Legal advisor disclosed,Financial advisor disclosed,air_drop_after_ICO ,industry,Total amount raised (USDm),BTC_ret_ico_period,Fundraiser has maximum ('hard cap'),Fundraiser has minimum ('soft cap'),soft_cap_unit,hard_cap_unit,price_crowdsale,Crowdsale max. discount (%),US_qualified_only,Team business background missing,Team experience missing,Team tokens locked up,issued_on_other_platf,Legal form and jurisdiction known,Postal address known,Registered in offshore financial center,switzerland,is_ethereum,Is cryptographic token,Has VC backing,has_generalist_vc,has_specialist_vc,Unknown or low quality advisors,High quality advisory team,Token supply is fixed,Celebrity endorsement,Is a security,Is a utility token,token_is_cryptocurrency,token_is_new_blockchain,Is currency or general purpose blockchain,Decentralised platform,Legal entity is foundation,Legal entity is corporation,Legal entity is LLC,"Length of crowdsale (calendar days, actual)","Length of crowdsale (calendar days, planned)",presale_transparent,industry.1,length_of_ico
USD,1,Utility-token,1000000000,ERC-20,0,0,0,0,16,1,1,1,0,0,1,1,0,0,1,0,0,1,No,Polychain Capital; Pantera Capital; Blockchain Capital; Kenetic Capital,0,0,0,unknown,joint-stock corporation,Cayman Islands,0,0,0,0,0,1,0,0,0,0,0,Trading & Exchanges,26,0,1,0,USD,USD,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,2,5,1,Trading & Exchanges,1
ETH,1,Utility-token,1000000000,ERC-20,0,0,0,1,56,1,0,1,0,0,1,1,1,0,0,0,0,1,No,No,0,1,0,high,unknown,Canada,0,0,0,0,0,1,1,1,0,0,0,Commerce & Advertising,10,0,1,0,ETH,ETH,0,17,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,24,39,1,Commerce & Advertising,23
ETH,0,Utility-token,100000000,ERC-20,0,0,1,1,33,0,0,1,0,1,1,0,1,0,0,0,0,1,No,No,0,0,0,neutral,joint-stock corporation,Estonia,0,0,0,0,0,0,0,0,1,0,0,Commerce & Advertising,14,0,1,1,ETH,ETH,0,23,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,31,1,Commerce & Advertising,0
USD,0,Utility-token,392000000,ERC-20,0,0,1,1,70,1,1,1,0,1,0,0,0,1,1,0,1,0,No,No,0,1,1,high,joint-stock corporation,Estonia,0,0,0,0,0,1,1,1,0,1,0,Commerce & Advertising,15,0,1,1,USD,USD,0,24,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,15,1,Commerce & Advertising,0
USD,1,Security,750000000,ERC-20,0,0,1,1,35,0,0,0,0,1,1,0,1,0,1,0,1,0,No,District 13,1,1,1,high,joint-stock corporation,Singapore,0,0,0,0,0,1,1,1,1,0,0,Commerce & Advertising,7,0,1,1,USD,USD,0,3,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,21,21,1,Commerce & Advertising,20
ETH,1,Utility-token,1000000000,ERC-20,0,0,1,1,16,0,0,0,0,0,1,1,1,0,0,0,0,1,No,No,1,1,0,high,joint-stock corporation,United States,0,0,0,0,0,0,1,0,0,0,0,Commerce & Advertising,9,0,1,0,ETH,ETH,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,Commerce & Advertising,0
CHF,1,New Blockchain,276571964,ERC-20,1,0,0,1,10,1,1,0,0,0,0,1,0,0,0,0,1,0,No,No,1,1,1,neutral,foundation,Liechtenstein,0,0,0,0,0,0,0,0,1,0,0,Blockchain Infrastructure,35,1,1,0,CHF,CHF,0,41,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,68,78,1,Blockchain Infrastructure,67
BTC,0,Utility-token,130271020,ERC-20,0,0,1,1,35,0,0,0,0,0,0,0,0,0,0,0,1,0,No,No,0,1,0,neutral,joint-stock corporation,Estonia,0,0,0,0,0,1,0,0,0,0,0,Legal,30,1,1,0,BTC,BTC,0,23,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,33,33,0,Legal,32
ETH,1,Cryptocurrency,100000000,ERC-20,0,0,1,1,28,0,0,4,0,0,1,0,1,0,1,0,0,1,No,Vulpem,0,0,1,medium,joint-stock corporation,Switzerland,0,0,0,0,0,1,1,0,0,1,1,Charity,16,0,1,1,ETH,ETH,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,17,1,Charity,0
ETH,1,Utility-token,29274567,ERC-20,0,0,1,1,32,1,1,0,0,1,1,1,1,0,0,0,1,0,No,No,0,1,1,neutral,joint-stock corporation,Singapore,0,0,0,0,0,0,1,1,1,0,0,Insurance,4,1,1,0,ETH,ETH,0,13,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,31,31,1,Insurance,30
USD,1,Utility-token,1491492558,ERC-20,0,0,1,1,46,1,1,2,1,0,1,0,1,0,0,0,0,1,Right Side Capital Management; Techstars; Project 11 Ventures; NXT ventures; Launch Capital,No,0,0,0,medium,joint-stock corporation,United States,0,0,0,0,0,1,0,1,0,0,0,Finance,15,0,1,1,USD,USD,0,23,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,8,72,0,Finance,7
ETH,1,Utility-token,75209200,ERC-20,1,0,0,1,26,0,0,0,0,1,1,1,1,0,1,0,1,0,No,No,0,0,1,unknown,joint-stock corporation,Japan,0,0,0,0,0,0,0,0,0,0,0,Social Networks,4,0,1,1,ETH,ETH,0,31,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,29,29,1,Social Networks,28
ETH,1,Utility-token,1151773038,ERC-20,0,0,1,1,37,0,0,1,0,1,1,0,1,1,1,0,1,0,No,No,0,1,1,high,limited liability partnership,Switzerland,0,0,0,0,0,1,1,0,0,0,0,Provenance & Notary,56,1,1,0,ETH,ETH,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,34,31,1,Provenance & Notary,33
USD,0,Utility-token,245000000,ERC-20,0,0,1,1,45,1,1,2,1,0,1,1,1,0,1,0,1,0,Catagonia Limited,No,0,1,1,high,joint-stock corporation,Singapore,0,0,0,0,0,1,1,1,0,0,1,Marketplaces,17,0,1,1,USD,USD,0,20,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,8,34,0,Marketplaces,7
tokens,1,Utility-token,25000000,ERC-20,0,0,1,1,28,1,1,2,0,1,0,0,1,0,0,0,1,0,No,No,1,0,0,low,joint-stock corporation,United Kingdom,0,0,0,0,0,1,1,1,0,0,0,Trading & Exchanges,16,0,1,1,tokens,tokens,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,37,37,1,Trading & Exchanges,36
USD,1,Security,54175041,ERC-20,0,0,1,1,40,1,1,1,0,1,1,0,1,0,0,0,1,0,No,No,1,1,0,high,joint-stock corporation,British Virgin Islands,0,0,0,0,0,0,1,1,1,0,0,Real Estate,7,0,1,1,USD,USD,1,16,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,55,55,1,Real Estate,54
tokens,1,Utility-token,10000000,ERC-20,0,0,1,1,18,1,1,1,0,1,1,0,0,0,0,0,1,0,No,Global Advisors,1,0,0,unknown,joint-stock corporation,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,Events & Entertainment,20,0,1,1,tokens,tokens,4,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,8,1,Events & Entertainment,0
USD,1,Utility-token,350000000,ERC-223,0,0,0,1,24,0,0,1,0,0,1,1,0,0,0,0,1,0,No,No,0,1,0,high,unknown,Singapore,0,0,0,0,0,1,0,1,0,0,0,Finance,20,0,1,1,USD,USD,0,30,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,5,74,1,Finance,4
EUR,1,Utility-token,19822337,ERC-20,0,0,1,1,37,1,1,3,1,1,0,0,1,0,0,0,1,0,No,No,0,1,1,high,limited liability partnership,United Kingdom,0,0,0,0,0,0,1,1,0,1,0,Trading & Exchanges,10,1,1,1,EUR,EUR,1,15,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,47,47,1,Trading & Exchanges,46
tokens,1,Utility-token,79300000,ERC-20,0,0,0,0,13,0,0,4,0,0,0,1,1,0,1,0,1,0,No,Blockchain Capital; Draper Associates,0,1,1,high,foundation,Switzerland,1,0,0,0,0,0,0,0,0,0,0,Trading & Exchanges,159,0,1,0,tokens,tokens,4,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,15,1,Trading & Exchanges,0
