vc_support_blockchain_specialist,vc_support_general,Postal address known,total_number_of_tokens,token_is_new_blockchain,Total amount raised (USDm),Financial advisor disclosed,KYC/AML procedure,name_other,Is currency or general purpose blockchain,advisor_quality,is_ethereum,Is cryptographic token,ico_start_date,industry,address,Product can be tried out,Legal entity is corporation,ico_end_date_actual,cap_unit,ico_successful,Use of proceeds mentioned,Celebrity endorsement,Years since foundation,US retail investors excluded,Whitepaper page count,US_qualified_only,Legal advisor disclosed,token_standard,Fundraiser has minimum ('soft cap'),cap_includes_presale,ico_end_date_planned,Is a utility token,Decentralised platform,Development road map available,has_specialist_vc,Unsold tokens 'burnt' or proportional allocation,hard_cap_unit,Team tokens locked up,"Length of crowdsale (calendar days, actual)",Funding milestones,Unknown or low quality advisors,portfolio_converted_into_fiat,Experienced team,Fundraiser has maximum ('hard cap'),soft_cap,token_is_cryptocurrency,Crowdsale max. discount (%),Issuer has customers for product,industry.1,"Length of crowdsale (calendar days, planned)",Smart contract code available,price_crowdsale,Team business background missing,legal_structure,soft_cap_unit,Team member with business background,Has VC backing,switzerland,Investors have governance rights,issued_on_other_platf,High quality advisory team,Use of proceeds disclosed in detail,Legal form and jurisdiction known,additional_token_emissions,Project code available,Independent custodian for ICO funds,Has a presale,Qualified investors only,Team experience missing,Business model available,Token supply is fixed,Legal entity is foundation,token_type,presale_transparent,Legal entity is LLC,Is a security,has_generalist_vc,Simple agreement for future tokens (SAFT),Product or prototype developed,Crowdsale is auction,air_drop_after_ICO ,BTC_ret_ico_period,Registered in offshore financial center,Unsold tokens kept by issuer,Investors from other (non-US) jurisdictions excluded,registration_country,Token share producers/miners (ex ante),Token share team (ex ante),ethereum_contract_address
No,Right Side Capital Management; Techstars; Project 11 Ventures; NXT ventures; Launch Capital,1,1491492558.0,0,15.0,0,1,AirToken,0,medium,1,1,2017-09-30,Finance,"207 South Street Suite 172 Boston, MA 02111",1,1,2017-10-07,USD,1.0,1,0,2,0,46.0,0,0,ERC-20,1,1,2017-12-10,1,1,1,0,0,USD,0,8,0,0,0,0,1,15000000.0,0,23.076923370361328,1,Finance,72.0,1.0,0.017692307010293007,0,joint-stock corporation,USD,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,Utility-token,0,0,0,1,0,1,0,0,0.02012023702263832,0,1,1,United States,0.0,0.3,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488
No,No,1,75209200.0,0,3.789109945297241,0,0,ALIS,0,unknown,1,1,2017-09-01,Social Networks,"ALIS CO., Ltd., Kawara Bld.6F, 1-20-7, Jinnan, Shibuya-ku, Tokyo, 150-0041",0,1,2017-09-29,ETH,1.0,1,0,0,0,26.0,0,0,ERC-20,1,1,2017-09-29,1,1,1,0,1,ETH,1,29,0,1,0,0,1,3400289.0200000005,0,31.034482955932617,0,Social Networks,29.0,1.0,0.10076187551021576,0,joint-stock corporation,ETH,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,Utility-token,1,0,0,0,0,0,0,0,-0.16135047376155853,0,0,0,Japan,0.0,0.5,0xea610b1153477720748dc13ed378003941d84fab
No,No,1,1151773037.5,0,56.12714767456055,0,1,Ambrosus,0,high,1,1,2017-09-17,Provenance & Notary,"Gotthardstrasse 26, 6300 Zug",0,0,2017-10-20,ETH,1.0,1,0,1,1,37.0,0,0,ERC-20,0,1,2017-10-17,1,1,1,0,1,ETH,1,34,0,0,0,1,1,0.0,0,0.0,0,Provenance & Notary,31.0,1.0,0.3040100038051605,0,limited liability partnership,ETH,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,Utility-token,1,1,0,0,0,0,0,0,0.5174990296363831,0,0,0,Switzerland,0.0,0.6,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce
No,Catagonia Limited,1,245000000.0,0,16.702674865722656,0,1,AppCoins,0,high,1,1,2017-12-13,Marketplaces,"30 Cecil St, #19-08, Prudential Tower, Singapore 049712.",1,1,2017-12-20,USD,1.0,1,0,2,1,45.0,0,0,ERC-20,1,0,2018-01-15,1,1,1,0,1,USD,1,8,0,0,0,1,1,4054386.375,0,20.0,1,Marketplaces,34.0,1.0,0.30914872884750366,0,joint-stock corporation,USD,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,Utility-token,0,0,0,1,0,1,0,1,0.013102316297590733,0,0,1,Singapore,0.0,0.6,0x1a7a8bd9106f2b8d977e08582dc7d24c723ab0db
No,No,0,54175040.6777549,0,6.9742279052734375,0,0,ATLANT,0,high,1,1,2017-09-07,Real Estate,unknown,1,1,2017-10-31,USD,1.0,1,0,1,1,40.0,0,1,ERC-20,1,1,2017-10-31,0,1,1,0,1,USD,0,55,0,0,0,1,1,1500000.0,0,15.841584205627441,0,Real Estate,55.0,1.0,0.6057029962539673,0,joint-stock corporation,USD,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,Security,1,0,1,0,0,1,0,0,0.3408985733985901,1,0,1,British Virgin Islands,0.0,0.275,0x78b7fada55a64dd895d8c8c35779dd8b67fa8a05
Global Advisors,No,1,10000000.0,0,20.020845413208008,0,0,Aventus,0,unknown,1,1,2017-09-06,Events & Entertainment,"Kemp House 160 City Road, London, United Kingdom, EC1V 2NX ",1,1,2017-09-06,tokens,1.0,0,0,1,0,18.0,0,0,ERC-20,1,1,2017-09-13,1,0,1,1,1,tokens,0,1,0,1,0,0,1,10902391.30434782,0,0.0,0,Events & Entertainment,8.0,1.0,3.6341304779052734,1,joint-stock corporation,tokens,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,Utility-token,1,0,0,0,0,1,0,0,0.0,0,0,0,United Kingdom,0.0,0.4,0x0d88ed6e74bbfd96b831231638b66c05571e824f
No,No,0,350000000.0,0,20.0,0,1,aXpire,0,high,1,1,2018-01-08,Finance,unknown,0,0,2018-01-12,USD,1.0,0,0,1,0,24.0,0,0,ERC-223,1,1,2018-03-22,1,1,1,0,1,USD,0,5,0,0,0,1,1,3000000.0,0,30.0,0,Finance,74.0,1.0,0.08163265138864517,0,unknown,USD,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,Utility-token,1,0,0,0,0,0,0,0,-0.08165573328733444,0,0,1,Singapore,0.0,0.3,0x9af2c6b1a28d3d6bc084bd267f70e90d49741d5b
No,No,1,19822337.0,0,9.54368782043457,1,0,B2BX,0,high,1,1,2017-10-02,Trading & Exchanges,"3rd floor, fairgate House, 78 Oxford Street, London, United Kingdom, WC1A 1HB",1,0,2017-11-17,EUR,1.0,1,0,3,1,37.0,0,0,ERC-20,1,1,2017-11-17,1,1,1,0,1,EUR,1,47,0,0,0,1,1,5899500.0,0,15.0,1,Trading & Exchanges,47.0,0.0,0.6235577464103699,0,limited liability partnership,EUR,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,Utility-token,1,1,0,0,0,1,0,0,0.5586667060852051,0,0,1,United Kingdom,0.0,0.2,0x5d51fcced3114a8bb5e90cdd0f9d682bcbcc5393
Blockchain Capital; Draper Associates,No,1,79300000.0,0,159.27911376953125,0,0,Bancor,0,high,1,1,2017-06-12,Trading & Exchanges,"Bprotocol Stiftung, c/o Sielva Management SA, Gubelstrasse 11, 6300 Zug",0,0,2017-06-12,tokens,1.0,1,0,4,0,13.0,0,0,ERC-20,0,1,2017-06-26,1,1,0,1,1,tokens,1,1,0,0,0,1,1,0.0,0,0.0,0,Trading & Exchanges,15.0,0.0,4.014900207519531,0,foundation,tokens,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,Utility-token,1,0,0,0,0,0,0,0,0.0,0,0,0,Switzerland,0.0,0.5,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c
No,No,1,400000000.0,0,74.32357025146484,0,1,Bankex,0,high,1,1,2017-11-28,Finance,"BKX, PO Box 309, Ugland House, Grand Cayman, KY1-1104",1,0,2017-12-26,ETH,1.0,1,0,2,1,36.0,1,0,ERC-20,1,1,2017-12-28,1,1,1,0,0,ETH,0,29,0,0,0,1,1,15476800.0,0,9.090909004211426,1,Finance,31.0,1.0,1.4773309230804443,0,unknown,ETH,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,Utility-token,0,0,0,0,0,1,0,0,0.4703589677810669,1,1,0,Cayman Islands,0.0,0.8,0x45245bc59219eeaaf6cd3f382e078a461ff9de7b
