vc_support_blockchain_specialist,vc_support_general,Postal address known,total_number_of_tokens,token_is_new_blockchain,Total amount raised (USDm),Financial advisor disclosed,KYC/AML procedure,name_other,Is currency or general purpose blockchain,advisor_quality,is_ethereum,Is cryptographic token,ico_start_date,industry,address,Product can be tried out,Legal entity is corporation,ico_end_date_actual,cap_unit,ico_successful,Use of proceeds mentioned,Celebrity endorsement,Years since foundation,US retail investors excluded,Whitepaper page count,US_qualified_only,Legal advisor disclosed,token_standard,Fundraiser has minimum ('soft cap'),cap_includes_presale,ico_end_date_planned,Is a utility token,Decentralised platform,Development road map available,has_specialist_vc,Unsold tokens 'burnt' or proportional allocation,hard_cap_unit,Team tokens locked up,"Length of crowdsale (calendar days, actual)",Funding milestones,Unknown or low quality advisors,portfolio_converted_into_fiat,Experienced team,Fundraiser has maximum ('hard cap'),soft_cap,token_is_cryptocurrency,Crowdsale max. discount (%),Issuer has customers for product,industry.1,"Length of crowdsale (calendar days, planned)",Smart contract code available,price_crowdsale,Team business background missing,legal_structure,soft_cap_unit,Team member with business background,Has VC backing,switzerland,Investors have governance rights,issued_on_other_platf,High quality advisory team,Use of proceeds disclosed in detail,Legal form and jurisdiction known,additional_token_emissions,Project code available,Independent custodian for ICO funds,Has a presale,Qualified investors only,Team experience missing,Business model available,Token supply is fixed,Legal entity is foundation,token_type,presale_transparent,Legal entity is LLC,Is a security,has_generalist_vc,Simple agreement for future tokens (SAFT),Product or prototype developed,Crowdsale is auction,air_drop_after_ICO ,BTC_ret_ico_period,Registered in offshore financial center,Unsold tokens kept by issuer,Investors from other (non-US) jurisdictions excluded,registration_country,Token share producers/miners (ex ante),Token share team (ex ante),ethereum_contract_address
No,No,1,3646271241.0,0,22.125398635864258,1,1,BLOCKv,0,neutral,1,1,2017-09-16,Blockchain Infrastructure,"Blockv AG, Landsgemeindeplatz 11, 6300 Zug",0,1,2017-10-25,USD,1.0,1,0,1,0,27.0,0,0,ERC-20,0,0,2017-10-25,1,1,1,0,1,USD,1,40,0,0,0,1,1,20000000.0,0,0.0,1,Blockchain Infrastructure,40.0,1.0,0.020999999716877937,0,joint-stock corporation,USD,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,Utility-token,1,0,0,0,0,1,1,0,0.46147364377975464,0,0,0,Switzerland,0.0,0.65,0x340d2bde5eb28c1eed91b2f790723e3b160613b7
Pantera Capital,No ,0,150000000.0,0,40.0,0,1,Bloom,0,high,1,1,2017-11-30,Finance,unknown,0,1,2018-01-01,USD,1.0,0,0,1,0,17.0,0,0,ERC-20,1,1,2018-01-01,1,1,1,1,0,USD,0,33,0,0,0,1,1,5000000.0,0,0.0,0,Finance,33.0,0.0,1.1728675365447998,0,joint-stock corporation,USD,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,Utility-token,0,0,0,1,0,1,0,0,0.2885904312133789,1,1,0,Gibraltar,0.0,0.5,0x107c4504cd79c5d2696ea0030a8dd4e92601b82e
Kenetic Capital,Global Brains; True Global Ventures; LUN partners,1,500000000.0,0,16.285606384277344,1,1,Bluzelle,0,high,1,1,2018-01-17,Data Analytics,"16 Raffles Quay, Level 2, Hong Leong Building Singapore, 048581",0,1,2018-01-20,USD,1.0,1,0,3,0,42.0,0,1,ERC-20,0,1,2018-01-20,1,1,1,1,0,USD,1,4,0,0,0,1,1,0.0,0,0.0,0,Data Analytics,4.0,1.0,0.11999999731779099,0,joint-stock corporation,USD,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,Utility-token,1,0,0,1,0,0,0,0,0.14226989448070526,0,1,1,Singapore,0.0,0.52,0x5732046a883704404f284ce41ffadd5b007fd668
No,No,0,500000000.0,0,1.8561564683914185,0,0,Bounty0x,0,neutral,1,1,2017-12-15,Search,unknown,1,1,2017-12-16,USD,1.0,0,0,0,1,25.0,0,0,ERC-20,1,1,2018-01-01,1,1,1,0,0,USD,1,2,0,0,0,0,1,1250000.0,0,0.0,0,Search,18.0,1.0,0.01767302304506302,0,joint-stock corporation,USD,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,Utility-token,1,0,0,0,0,1,0,0,0.09632673114538193,1,1,1,Cayman Islands,0.0,0.7803,0xd2d6158683aee4cc838067727209a0aaf4359de3
No,Saison Ventures; OKWave; Liberty City Ventures; Globe Advisors; East Ventures; Das Capital,0,88894087.0,0,44.0,1,1,Bread,0,neutral,1,1,2017-12-14,Payments,unknown,1,1,2017-12-24,USD,1.0,0,0,4,0,15.0,0,1,ERC-20,0,1,2017-12-24,1,0,1,0,1,USD,1,11,0,0,0,1,1,0.0,0,20.0,1,Payments,11.0,1.0,1.2184181213378906,0,joint-stock corporation,USD,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,Utility-token,1,0,0,1,0,1,0,1,-0.17348843812942505,1,0,0,Cayman Islands,0.0,0.3333333333333333,0x558ec3152e2eb2174905cd19aea4e34a23de9ad6
No,No,1,71349625.5,0,8.681510925292969,0,0,CarTaxi Token,0,medium,1,1,2017-09-29,Marketplaces,"49 Vyborgskaya embankment, Saint Petersburg",1,1,2017-10-31,ETH,1.0,1,1,0,1,37.0,0,0,ERC-20,0,0,2017-10-29,0,0,1,0,1,ETH,1,33,0,0,0,1,1,932322.25,0,13.043478012084961,1,Marketplaces,31.0,1.0,0.1629130244255066,0,joint-stock corporation,ETH,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,Security,1,0,1,0,0,1,0,0,0.4406760036945343,0,0,1,Russian Federation,0.0,0.3333333333333333,0x662abcad0b7f345ab7ffb1b1fbb9df7894f18e66
No,No,1,1000000000.0,1,14.0,0,1,Cashaa,1,high,1,1,2017-11-06,Finance,"Harju maakond, Tallinn, Lasnamäe linnaosa, Valukoja tn 8, 11415",1,1,2017-12-06,USD,1.0,1,0,1,1,33.0,1,0,ERC-20,1,1,2017-12-06,0,1,1,0,1,USD,1,31,0,0,0,1,1,2500000.0,0,28.571428298950195,1,Finance,31.0,1.0,0.08571428805589676,0,joint-stock corporation,USD,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,New Blockchain,0,0,0,0,0,1,0,0,0.7105086445808411,0,0,0,Estonia,0.0,0.49,0xe8780b48bdb05f928697a5e8155f672ed91462f7
No,No,0,99999999.5,0,35.63304138183594,0,0,Centra,0,low,1,1,2017-09-19,Payments,unknown,0,1,2017-10-02,ETH,1.0,0,1,2,0,18.0,0,0,ERC-20,0,1,2017-10-05,0,1,1,0,0,ETH,0,14,0,1,0,0,1,0.0,0,0.0,0,Payments,17.0,1.0,1.4874000549316406,0,joint-stock corporation,ETH,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,unknown,1,0,0,0,0,0,0,0,0.11636177450418472,0,1,0,United States,0.0,0.3200000000000001,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a
No,No,1,1000000000.0,0,32.0,0,0,ChainLink,0,high,1,1,2017-09-19,Blockchain Infrastructure,"50 California Street, Suite 1500
San Francisco, CA, 94111",0,1,2017-09-19,ETH,1.0,0,0,3,0,38.0,0,0,ERC-223,0,1,2017-10-19,1,1,0,0,0,ETH,0,1,0,0,0,0,1,0.0,0,27.5,0,Blockchain Infrastructure,31.0,0.0,0.1682172417640686,0,joint-stock corporation,ETH,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,Utility-token,0,0,0,0,0,1,0,0,0.0,0,1,0,United States,0.35,0.3,0x514910771af9ca656af840dff83e8264ecf986ca
No,No,1,79184115.8156427,0,17.045635223388672,0,1,Change,1,high,1,1,2017-09-16,Finance,"Harju maakond, Tallinn, Kesklinna linnaosa,   Viru väljak 2, 10111",1,1,2017-10-16,ETH,1.0,1,0,1,1,12.0,0,0,ERC-20,0,1,2017-10-16,0,1,1,0,0,ETH,0,31,0,0,1,1,1,0.0,1,16.66666603088379,0,Finance,31.0,1.0,0.6591212153434753,0,joint-stock corporation,ETH,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,Cryptocurrency,1,0,0,0,0,1,0,0,0.45708027482032776,0,1,1,Estonia,0.0,0.6,0x7d4b8cce0591c9044a22ee543533b72e976e36c3
No,No,0,710112.8108,0,5.400000095367432,0,0,Chronobank,0,low,1,1,2016-12-13,Marketplaces,unknown,0,1,2017-02-14,BTC,1.0,0,0,0,0,9.0,0,0,ERC-20,1,1,2017-02-14,0,0,0,0,1,BTC,0,64,0,1,0,1,0,502275.0,0,0.0,0,Marketplaces,64.0,1.0,10.045499801635742,0,joint-stock corporation,BTC,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,Security,1,0,1,0,0,0,0,0,0.25228333473205566,0,0,0,Australia,0.0,0.12,0x6531f133e6deebe7f2dce5a0441aa7ef330b4e53
Bitfin Capital; Token Fund,Starta Accelerator,0,2000000004.0,0,16.90089225769043,0,1,Cindicator,0,high,1,1,2017-09-10,Finance,unknown,1,1,2017-10-12,USD,1.0,1,0,2,1,37.0,0,1,ERC-20,0,1,2017-10-12,1,1,1,1,0,USD,0,33,0,0,0,0,1,0.0,0,0.0,1,Finance,33.0,1.0,0.009999999776482582,0,joint-stock corporation,USD,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,Utility-token,1,0,0,1,0,1,0,0,0.27848196029663086,1,1,1,Gibraltar,0.0,0.25,0xd4c435f5b09f855c3317c8524cb1f586e42795fa
Blockchain Capital; Pantera Capital; Digital Currency Group,Propel Venture Partners,1,1000000000.0,0,33.0,0,1,Civic,0,high,1,1,2017-06-21,Identity & Reputation," Civic Technologies, Inc., 540 Bryant Street, Suite 200, Palo Alto, CA 94301",1,1,2017-06-28,USD,1.0,1,0,2,0,18.0,0,0,ERC-20,0,1,2017-06-22,1,1,1,1,0,USD,0,8,0,0,0,1,1,0.0,0,0.0,0,Identity & Reputation,2.0,1.0,0.10000000149011612,0,joint-stock corporation,USD,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,Utility-token,1,0,0,1,0,1,0,0,-0.043438587337732315,0,1,0,United States,0.0,0.67,0x41e5560054824ea6b0732e656e3ad64e20e94e45
No,No,0,100000000.0,0,2.5,0,1,Clout,0,low,1,1,2017-11-15,Media,unknown,0,1,2017-12-17,USD,1.0,1,0,0,1,41.0,0,0,ERC-223,1,0,2017-12-17,1,1,1,0,0,USD,1,33,0,1,0,0,1,7500000.0,0,75.0,0,Media,33.0,0.0,6.25,0,joint-stock corporation,USD,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,Utility-token,1,0,0,0,0,1,0,0,0.9618213176727295,1,1,1,Gibraltar,0.0,0.875,0x5ba49fcf7c9dce67d6a9fc92cc51c8e77cba5b7a
No,Infinity Ventures,1,1000000000.0,0,13.530351638793945,1,0,Cobinhood,0,neutral,1,1,2017-09-13,Trading & Exchanges," BEING Inc., The Grand Pavilion Commercial Centre, Oleander Way, 802 West Bay Road, P.O. Box 32052, Grand Cayman KY1-1208 Cayman Islands.",0,1,2017-10-22,tokens,1.0,1,1,0,1,18.0,0,0,ERC-20,0,0,2017-10-22,0,0,1,0,0,tokens,1,40,0,0,0,0,1,0.0,0,28.571428298950195,0,Trading & Exchanges,40.0,0.0,0.05527694895863533,0,joint-stock corporation,tokens,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,Security,0,0,1,1,0,0,0,0,0.4366593658924103,1,1,1,Cayman Islands,0.0,0.4,0xb2f7eb1f2c37645be61d73953035360e768d81e6
No,No,0,500000000.0,0,14.597729682922363,1,0,Cofound.it,0,high,1,1,2017-06-04,Finance,unknown,0,1,2017-06-07,ETH,1.0,1,0,0,0,17.0,0,1,ERC-20,1,1,2017-07-05,1,1,1,0,1,ETH,1,4,0,0,0,1,1,1167766.75,0,92.00035095214844,0,Finance,32.0,0.0,0.11678183823823929,0,joint-stock corporation,ETH,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,Utility-token,1,0,0,0,0,0,1,0,0.08408889919519424,1,0,0,British Virgin Islands,0.0,0.75,0x12fef5e57bf45873cd9b62e9dbd7bfb99e32d73e
No,Catagonia Limited,1,53000748.0,0,15.137519836425781,0,0,COPYTRACK,0,high,1,1,2018-01-09,Privacy & Security,Oranienburger Str. 4 10178 Berlin,0,1,2018-02-09,tokens,1.0,0,0,2,1,29.0,0,0,ERC-20,1,0,2018-02-09,1,0,1,0,1,tokens,1,32,0,0,0,1,1,4000000.918773389,0,19.542619705200195,0,Privacy & Security,32.0,1.0,0.6946191787719727,0,joint-stock corporation,tokens,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,Utility-token,0,0,0,1,0,0,0,0,-0.5131418108940125,0,0,1,Germany,0.0,0.4,0xf44745fbd41f6a1ba151df190db0564c5fcc4410
No,No,0,20000000.0,0,19.86416244506836,0,0,Covesting,0,unknown,1,1,2017-11-24,Finance,unknown,1,1,2017-12-31,ETH,1.0,1,0,0,1,41.0,0,0,ERC-20,0,0,2018-01-15,1,1,1,0,1,ETH,1,38,0,1,0,1,1,2364024.5,0,35.0,0,Finance,53.0,1.0,1.372430682182312,0,joint-stock corporation,ETH,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,Utility-token,1,0,0,0,0,1,0,0,0.5395064353942871,1,0,1,Gibraltar,0.0,0.18,0xe2fb6529ef566a080e6d23de0bd351311087d567
No,No,1,11169313.5958091,0,7.234386920928955,0,0,CrowdWiz,0,neutral,1,1,2017-11-20,Finance,"Crowdwiz Ltd.,  Harju maakond, Tallinn, Lasnamäe linnaosa, Narva mnt 174c/1-8, 13914 ",1,1,2018-01-31,USD,1.0,1,0,1,1,48.0,0,1,ERC-20,1,1,2018-01-31,0,0,1,0,1,USD,1,73,0,0,0,0,1,5000000.0,0,13.043478012084961,0,Finance,73.0,0.0,0.9347826242446899,0,joint-stock corporation,USD,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,Security,0,0,1,0,0,1,0,0,0.22024200856685638,0,0,1,Estonia,0.0,0.35,unknown
No,No,1,300000000.0,0,55.322105407714844,0,1,Crypterium,0,high,1,1,2017-10-31,Payments,"Harju maakond, Tallinn, Kesklinna linnaosa, A. Lauteri tn 5, 10114",0,1,2018-01-05,USD,1.0,0,0,5,0,35.0,0,1,ERC-20,1,1,2018-01-12,1,0,0,0,1,USD,1,67,0,0,0,1,1,3000000.0,0,24.812030792236328,0,Payments,74.0,1.0,0.2634385824203491,0,joint-stock corporation,USD,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,Utility-token,0,0,0,0,0,1,0,0,0.9912353754043579,0,0,0,Estonia,0.0,0.3,0x80a7e048f37a50500351c204cb407766fa3bae7f
No,No,0,86206896.0,0,34.75,0,1,CRYPTO20,0,high,1,1,2017-10-16,Finance,unknown,1,1,2017-11-30,tokens,1.0,1,0,0,1,16.0,0,1,ERC-20,1,1,2017-11-30,0,0,1,0,1,tokens,1,46,0,0,0,1,1,2100000.0,0,9.090909004211426,0,Finance,46.0,0.0,1.0,0,joint-stock corporation,tokens,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,Security,1,0,1,0,0,1,0,0,0.5807307958602905,1,0,1,Cayman Islands,0.0,0.13,0x26e75307fc0c021472feb8f727839531f112f317
Seedcoin,No,1,90414745.0,0,17.542049407958984,0,1,Cryptopay,0,neutral,1,1,2017-09-25,Payments,"CPAY Foundation Limited, c/o ARKA Corporate Services (Cayman) Limited, 67 Fort Street, 1st Floor, Artemis House, George Town, Grand Cayman KY1-1102",1,0,2017-10-30,tokens,1.0,0,0,5,1,28.0,0,0,ERC-20,0,1,2017-10-30,0,0,0,1,1,tokens,1,36,0,0,0,0,1,0.0,0,23.076923370361328,1,Payments,36.0,1.0,0.25869011878967285,0,foundation,tokens,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,Security,1,0,1,0,0,1,0,0,0.44564229249954224,1,0,1,Cayman Islands,0.0,0.25,0x0ebb614204e47c09b6c3feb9aaecad8ee060e23e
No,No,0,10000000.0,0,2.5894100666046143,0,0,CryptoPing,0,unknown,0,1,2017-05-24,Trading & Exchanges,unknown,1,1,2017-06-25,BTC,1.0,0,0,0,0,10.0,0,0,Waves,0,1,2017-06-25,1,0,0,0,1,BTC,0,33,0,1,0,0,1,0.0,0,13.043478012084961,0,Trading & Exchanges,33.0,0.0,0.25894099473953247,1,joint-stock corporation,BTC,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,Utility-token,1,0,0,0,0,1,0,0,0.05794132128357887,1,0,0,Gibraltar,0.0,0.0,not applicable
No,No,1,100000000.0,0,29.0,0,1,DADI,0,neutral,1,1,2018-01-29,Cloud Computing,"7 Marylebone Lane, London, W1U 1DF",1,1,2018-02-28,USD,1.0,1,0,5,0,33.0,0,0,ERC-20,1,1,2018-01-29,1,1,1,0,1,USD,1,31,0,0,0,1,1,1000000.0,0,0.0,1,Cloud Computing,1.0,1.0,0.5,0,joint-stock corporation,USD,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,Utility-token,1,0,0,0,0,1,0,0,-0.08288022875785828,0,0,0,United Kingdom,0.0,0.4,0xfb2f26f266fb2805a387230f2aa0a331b4d96fba
No,No,1,167270820.687908,0,12.305741310119629,0,0,DAO.Casino,0,high,1,1,2017-06-29,Gambling & Betting,"DC Labs Pte. Ltd., 79 AYER RAJAH CRESCENT #05-08 SINGAPORE 139955",1,1,2017-07-21,ETH,1.0,1,0,1,1,16.0,0,0,ERC-20,0,0,2017-07-21,1,0,1,0,1,ETH,1,23,0,0,0,1,1,0.0,0,30.0,0,Gambling & Betting,23.0,1.0,0.1325392872095108,0,joint-stock corporation,ETH,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,Utility-token,0,0,0,0,0,1,0,0,0.049342840909957886,0,0,0,Singapore,0.0,0.3,0x8aa33a7899fcc8ea5fbe6a608a109c3893a1b8b2
No,No,1,2653841597.0,0,6.752636909484863,0,1,Datum,0,neutral,1,1,2017-10-29,Commerce & Advertising,"Datum Network GmbH,  Gotthardstrasse 26, 6300 Zug",1,0,2017-11-29,ETH,1.0,1,0,1,1,37.0,0,1,ERC-20,1,1,2017-11-29,1,1,1,0,0,ETH,1,32,0,0,0,1,1,2137600.0,0,13.043478012084961,0,Commerce & Advertising,32.0,0.0,0.010547235608100891,0,limited liability partnership,ETH,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,Utility-token,1,1,0,0,0,1,0,0,0.4743056893348694,0,1,1,Switzerland,0.0,0.49,0x81c9151de0c8bafcd325a57e3db5a5df1cebf79c
No,No,0,8094002.47,0,5.120791912078857,0,0,DCORP,0,neutral,1,1,2017-06-01,Finance,unknown,0,0,2017-06-29,EUR,1.0,1,0,0,0,26.0,0,1,ERC-20,1,1,2017-06-29,0,0,1,0,1,EUR,1,29,0,0,0,1,1,826807.9999999999,0,38.46154022216797,0,Finance,29.0,1.0,0.6115846037864685,0,limited liability partnership,EUR,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,Security,1,1,1,0,0,0,0,0,0.05314963683485985,0,0,0,Netherlands,0.0,0.183875,0x621d78f2ef2fd937bfca696cabaf9a779f59b3ed
No,No,0,400000000.0,0,20.863679885864258,1,1,Debitum Network (DBT),0,unknown,1,1,2017-12-07,Finance,unknown,0,1,2018-02-26,ETH,1.0,1,0,0,1,88.0,1,1,ERC-223,0,1,2018-02-26,1,1,1,0,0,ETH,1,82,0,1,1,0,1,0.0,0,25.287355422973633,0,Finance,82.0,1.0,0.13018645346164703,0,joint-stock corporation,ETH,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,Utility-token,1,0,0,0,0,0,0,1,-0.5461851954460144,1,1,0,Gibraltar,0.0,0.59935,0x151202c9c18e495656f372281f493eb7698961d5
Kenetic Capital,No,0,2644403342.1583,0,25.987659454345703,0,0,Decentraland,0,medium,1,1,2017-08-17,Video Games & VR,unknown,1,1,2017-08-17,ETH,1.0,1,0,2,1,15.0,0,0,ERC-20,0,1,2017-08-26,1,1,1,1,1,ETH,1,1,0,0,0,0,1,0.0,0,39.84962463378906,1,Video Games & VR,10.0,1.0,0.024116799235343933,0,joint-stock corporation,ETH,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,Utility-token,1,0,0,0,0,1,0,0,0.0,1,0,1,Cayman Islands,0.0,0.6,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
No,No,0,100000000.0,0,10.44792366027832,0,1,Devery,0,high,1,1,2017-12-14,Privacy & Security,unknown,0,0,2018-01-19,USD,1.0,0,0,0,1,11.0,0,0,ERC-20,0,1,2018-02-01,1,1,1,0,1,USD,1,37,0,0,0,0,1,0.0,0,0.0,0,Privacy & Security,50.0,1.0,0.17716965079307556,0,unknown,USD,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,Utility-token,1,0,0,0,0,0,0,0,-0.3555888533592224,1,0,1,Cayman Islands,0.0,0.4,0x923108a439c4e8c2315c4f6521e5ce95b44e9b4c
No,No,1,2000000.0,0,5.5,0,0,DigixDAO,0,unknown,1,1,2016-03-30,Finance,"DigixGlobal Pte Ltd, 10 Anson Road #05-17, International Plaza, Singapore 079903",1,1,2016-03-30,USD,1.0,1,0,0,0,22.0,0,0,ERC-20,1,1,2016-03-30,0,0,0,0,1,USD,0,1,0,1,0,0,1,500000.0,0,0.0,0,Finance,1.0,1.0,3.2352941036224365,1,joint-stock corporation,USD,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,Security,1,0,1,0,0,1,1,0,0.0,0,0,0,Singapore,0.0,0.15,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a
BoostVC; Fintech Blockchain Group; CoinFund,No,0,1000000000.0,0,9.789541244506836,0,0,district0x,0,medium,1,1,2017-07-18,Marketplaces,unknown,1,1,2017-08-01,USD,1.0,1,0,0,1,23.0,0,0,ERC-20,1,1,2017-08-01,1,1,1,1,1,USD,1,15,1,0,0,0,1,2000000.0,0,0.0,1,Marketplaces,15.0,1.0,0.016315901651978493,0,joint-stock corporation,USD,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,Utility-token,1,0,0,0,0,1,1,0,0.15890765190124512,0,0,1,United States,0.0,0.4,0x0abdace70d3790235af448c88547603b945604ea
No,No,0,6206858.0,0,3.2999753952026367,0,0,Divi,1,high,1,1,2017-10-27,Payments,unknown,0,0,2017-11-25,ETH,1.0,1,0,0,0,21.0,0,0,ERC-20,1,1,2017-11-25,0,1,0,0,1,ETH,1,30,0,0,0,1,1,2331400.0,1,23.076923370361328,0,Payments,30.0,1.0,0.8249568939208984,0,unknown,ETH,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,Cryptocurrency,0,0,0,0,0,0,0,1,0.41915997862815857,0,0,0,unknown,0.0,0.2,0x13f11c9905a08ca76e3e853be63d4f0944326c72
Pantera Capital,No,0,56921773.1719715,1,19.02667808532715,0,1,DMarket,1,high,1,1,2017-10-30,Video Games & VR,unknown,1,1,2017-11-28,tokens,1.0,1,0,9,1,29.0,0,0,ERC-20,0,0,2017-11-28,0,1,1,1,0,tokens,0,30,0,0,0,1,1,10970000.0,0,0.0,1,Video Games & VR,30.0,1.0,0.6305333375930786,0,joint-stock corporation,tokens,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,New Blockchain,1,0,0,0,0,1,0,0,0.4951666593551636,1,1,1,Gibraltar,0.0,0.1409527097431004,0x2ccbff3a042c68716ed2a2cb0c544a9f1d1935e1
Pantera Capital,S2 Capital; F50; Comet Labs; Legend Star,1,860000000.0,0,10.0,0,1,doc.ai,0,unknown,1,1,2017-09-07,Drugs & Healthcare,"540 Bryant St Suite 200, Palo Alto, CA 94301",0,1,2017-10-12,tokens,1.0,1,0,1,1,17.0,1,1,ERC-20,0,1,2017-10-12,1,1,1,1,0,tokens,1,36,0,1,0,1,1,0.0,0,10.0,0,Drugs & Healthcare,36.0,0.0,0.09344758093357086,0,joint-stock corporation,tokens,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,Utility-token,1,0,0,1,0,0,0,0,0.16901825368404388,0,1,1,United States,0.0,0.63,unknown
No,Liquid2; Passport Capital,0,1000000000.0,0,20.0,0,1,Dock.io (DOCK),0,high,1,1,2018-02-21,Marketplaces,unknown,1,1,2018-02-21,USD,1.0,1,0,0,1,25.0,1,0,ERC-20,0,1,2018-02-21,1,1,1,0,1,USD,1,1,0,0,0,1,1,0.0,0,0.0,0,Marketplaces,1.0,0.0,0.08399999886751175,0,joint-stock corporation,USD,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,Utility-token,1,0,0,1,0,1,0,1,0.0,0,0,0,United States,0.0,0.7,0xe5dada80aa6477e85d09747f2842f7993d0df71c
No,No,1,1300000000.0,1,30.9879207611084,1,1,DomRaider,1,neutral,1,1,2017-09-10,Payments,"22 Allée Alan Turing, 63000 Clermont-Ferrand",0,1,2017-10-09,EUR,1.0,1,0,5,0,127.0,0,1,ERC-20,1,1,2017-10-11,0,1,1,0,0,EUR,1,30,0,0,0,1,1,41062000.0,0,0.0,0,Payments,32.0,1.0,0.1173200011253357,0,joint-stock corporation,EUR,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,New Blockchain,0,0,0,0,0,0,0,0,0.1462031900882721,0,1,0,France,0.0,0.65,0x9af4f26941677c706cfecf6d3379ff01bb85d5ab
No,No,1,1200000000.0,0,0.9372047781944275,1,1,Dovu,0,high,1,1,2017-10-03,Marketplaces,"1st Floor College Green, College Green House 32-36, BS1 5SP, Bristol",1,1,2017-10-17,ETH,1.0,1,0,1,0,23.0,0,1,ERC-20,0,1,2017-10-17,1,1,1,0,0,ETH,1,15,0,0,0,1,1,0.0,0,9.09375,0,Marketplaces,15.0,1.0,0.09740500152111053,0,joint-stock corporation,ETH,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,Utility-token,0,0,0,0,0,1,0,1,0.2610781490802765,0,1,0,United Kingdom,0.0,0.75,0xac3211a5025414af2866ff09c23fc18bc97e79b1
No,No,1,3750000000.0,0,15.0,0,0,Dynamic Trading Rights,0,low,1,1,2017-11-06,Trading & Exchanges,"oken Holdings Limited, 3rd Floor 207 Regent Street, London, W1B 3HH",0,1,2017-12-06,USD,1.0,1,0,1,0,19.0,0,0,ERC-20,0,1,2017-12-06,1,1,1,0,0,USD,1,31,0,1,0,1,1,0.0,0,0.0,0,Trading & Exchanges,31.0,0.0,0.009999999776482582,0,joint-stock corporation,USD,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,Utility-token,1,0,0,0,0,1,0,0,0.7105086445808411,0,1,0,United Kingdom,0.0,0.6,0xd234bf2410a0009df9c3c63b610c09738f18ccd7
No,No,1,1500000000.0,0,8.535392761230469,1,1,EBCoin,0,neutral,1,1,2018-01-16,Travel & Tourisim,"EBC FOUNDATION PTE. LTD., 6 BATTERY ROAD #10-01 SINGAPORE 049909",0,1,2018-02-13,tokens,1.0,1,0,0,0,34.0,0,1,ERC-20,0,0,2018-02-13,1,1,1,0,1,tokens,1,29,0,0,0,1,1,3634618.0,0,17.18426513671875,0,Travel & Tourisim,29.0,1.0,0.036821234971284866,0,joint-stock corporation,tokens,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,Utility-token,1,0,0,0,0,0,0,0,-0.28995493054389954,0,0,0,Singapore,0.0,0.5,0xec2e5c8d51fdd54fef83db8300399a3c2e167922
