y_true,y_pred
5507.77,5246.1274
1.32234378,328.6507
1119.0,1639.3948
1236.49437621,3994.5442
0.0,79.79236
766.0,1027.72
21691.0,24291.992
376256.5,207931.34
54.67264433,519.3715
11660.0,33303.734
2888.9025673431,3395.8633
3313.0,3328.9817
38.0,187.30002
36742.0,74322.65
25771.0,19469.752
3338.0,3936.5237
34.0,269.24548
205.0,202.25952
2309.0,1827.4331
252.0,337.8488
11530.0,36751.824
1852.0,2032.7406
3752.78,3532.706
56.66,-39.802094
532.0,239.48384
16.0,-61.53232
2870.0,2977.7717
0.0,273.74118
20918.0,21023.234
131169.0,111897.03
1169.0,1582.0027
630.60760976,3225.6108
30.0,-59.94998
128813.39,120029.836
1.0,163.91168
1145.0,1408.6686
256.0,561.863
1390.0,2006.1881
975.0,2067.9753
5156.0,5826.114
2020.0,1972.3666
1489.27,3098.7913
1.0,72.388306
2611.38336888,5351.046
4537.0,5381.947
1876.0,4049.1233
483.685113,48.70274
36563.5891711884,46322.312
2000.0,1771.6434
15952.0,12857.3545
510.0,952.0774
5454.12,4781.674
200.0,885.6761
4142.0,6412.536
90.0,108.03225
3098.8222126,1851.1755
9044.1326084,6808.367
363.13361118,1223.1116
80352.96494652,95303.586
2734.0,4358.4404
0.0,-65.94635
1415.0,1913.9501
1.2108106,333.04462
3406.0,3805.6697
27967.7095,27978.688
8153.7037869,7005.2603
6342.25,4061.9001
1937.0,1572.7466
999.37920992,1617.8655
21521.4520565,11203.688
914.92429651,1093.8716
0.0,-115.56765
40506.0,17095.568
0.0,232.26407
2.0,68.571594
0.0,-138.23541
0.0,194.51508
15038.0,4125.3066
3238.05957075,4511.2534
717.0,591.07825
271.26169695,671.89087
1653.88856747,1566.9685
47.0,204.42105
205.0,165.49405
40292.0,36254.45
3057.2376541773,4191.035
44.0,107.57119
15846.0,16338.902
1205.88734075,314.34082
3025.0,3556.4329
1246.3157687,2209.6108
17048.0,24152.408
216.497076,657.91425
400.0,487.4927
833.70547459,594.07654
86984.0,37139.605
84868.0,157049.61
646.0,1528.193
468.3767616,216.25949
1.26635979,-56.34426
2882.4249617,4453.234
13021.0,11040.581
1752.0,2139.427
10624.0,12094.843
18825.15259716,17625.7
23218.46503539,14371.831
1.277286,242.1265
135074.5,89602.79
285.0,179.93497
6.0,247.9711
22968.0,16217.776
11623.92135072,13994.39
24972.0,36602.473
10435.0,6924.251
2900.0,3127.8994
1027.0,1749.1724
10674.72970712,6560.2446
287.0,340.10242
430.0,956.604
6500.0,6259.93
235.0,284.79312
4754.0,4294.45
64.0,177.91486
18143.0,9684.826
175.0,905.72516
6221.0,3125.6492
1065.83535192,1187.2086
13476.498928,17745.379
0.0,182.11472
0.0,156.19917
104573.259416605,122495.4
12876.37487808,13652.656
1433.42164544,1681.9271
2900.0,2643.237
0.0,-61.896454
43.95217992,487.6299
79800.77652075,87254.43
2688.55319175,3254.4883
0.0,163.91168
331.0,1401.4457
1021.40060022,2700.9543
0.0,181.65366
29792.0,30738.5
603.74360872,1211.5089
55.0,144.01788
601.151089,952.0774
25.0,269.24548
152.383854,146.80623
37.0,272.51016
1.0,276.0354
4605.65567,3779.847
0.8395328,105.05976
3035.0,2785.467
5538.985542,3904.3918
190.0,177.91486
10.0,131.33006
3821.0,4859.9272
2157.0,744.09546
5730.0,5431.077
26508.0,28250.05
22.0,167.0531
870.0,1141.5303
0.0,296.94815
35474.0,50849.824
2821.0,2360.0679
2778.0,4063.0757
11721.0,8740.619
126.0,170.68282
2532.3777031586,2074.7083
30748.0,21621.336
14491.0857700128,3880.576
12408.0,10938.95
128.0,912.3056
17799.7070758,12348.724
1.0,167.72842
85436.432694,87152.7
2015.0,2238.3994
46.0,133.73012
0.0,138.10562
810.81476091,2674.8887
0.0,181.65366
41969.0,24883.186
92145.1,54130.742
2677.0,4876.9956
3589.725925,2707.6936
11973.8307840274,14552.928
1920.42393566,4425.95
1590.3740544,4218.645
4330.0,6088.199
208.0,50.19717
4205.0,5638.797
54.300726,324.3622
0.0,254.2862
870.0,1500.7928
2018.0,2007.3385
1.0,389.45453
4026.0,3147.9355
5214.78,9349.739
1579.0,1295.7621
1.0,291.1854
77697.1072999,44355.79
1146.94935315,1216.5476
3208.43633385,2836.5684
13178.0,14231.24
14.3054763,311.8197
6759.5,5742.7524
3.0300597,183.49467
511.0,352.6099
14951.03217563,9241.689
1.0,131.80217
2103.0,7431.196
52.0,231.99188
1663.5134754,3215.1465
3315.0,5451.822
642.0,2095.8008
0.0,123.346214
3567.0,3765.4304
3157.0,3234.8816
17.0,182.91277
14371.018211425,25686.34
6318.61298058,9365.487
60.0,140.03357
2570.82646725,2010.098
194264.25472787,65405.8
26626.32969436,16453.428
120678.3524928,109477.65
0.0,86.047134
2315.27,2039.5118
4960.96,4186.529
3868.2415611,8837.193
75.286408,59.192295
6297.0,5246.1274
0.0,268.91455
70.0,1326.0408
4.0,268.91455
1246.0,1662.1307
958.12192905,1050.1819
110.0,133.73012
1407.5461274379,2589.6516
306.0,280.34412
1602.0274816,1338.0873
219.44676768,96.618065
90.0,196.16286
25033.0,25086.598
9269.86087664,8774.292
4.0,70.36273
8355.0,9507.845
16296.0,30226.195
3450.0,3046.498
4743.0,4115.972
5100.17146176,14721.252
8986.71160908,7046.616
863.49533144,1511.8589
3243.52019264,2010.3141
0.0,68.571594
13643.32958352,17937.89
10.0,-115.33009
991.0,793.17334
66.0,288.00446
0.0,192.13895
1367.95703198,4312.8105
131.0,273.17996
102.0,294.30585
1.12062145,297.86993
89.4176676,226.12804
4282.51553388,3579.765
0.0,191.26897
21573.0,18705.246
43210.0,37921.99
5887.84647561,2339.627
2046.0,2488.7288
0.9390479604,22.793615
816.62907303,1243.5132
0.0,268.91455
4436.0,3992.6833
672.15026115,3864.0454
0.0,165.03299
2861.746457013,4118.6646
748.415232,1362.1854
4665.0,8381.192
1085.0,1361.1919
2827.0,2838.1538
670.0,620.64056
1.0,330.7516
2244.0,3458.3425
5.0,273.61145
1636.0,3446.4507
83784.0,21621.336
420.45534433,1159.4674
4.0,131.34113
3316.4895307314,1618.8593
2112.0,2276.6946
2008.0,2045.6721
65.0,303.98996
5822.98261727,4514.0254
153.18782589,169.35745
9.1308,-107.90766
1055.0,1424.1976
1.0,269.31387
0.0,320.5675
2296.0,3218.012
8548.0,7690.5645
5750.0,5330.3213
1361.88147864,1153.7675
4929.0,4717.054
546.0,1013.32367
23.41074477,35.062263
981.0,600.5289
25.0,191.5953
0.0,192.20442
1251.37639488,2854.7078
3376.6790524,1196.3976
14.8019366,290.80157
16156.0,16669.139
50.0,201.06302
585.5,1051.0651
2727.0230412,3183.4626
2079.0,3703.3064
555.0,423.398
25.0,-77.46619
8.54060916,924.15985
1.0,255.39406
3585.0,3655.9111
25.74949405,74.1414
98.5402228176,-71.06223
12434.0,13185.704
10806.0,12406.013
1421.0,2053.5332
104069.0,123728.14
7685.12609335,5309.181
0.0,750.25226
11892.68205195,7944.764
5155.805370324,9834.564
19.09344325,278.29056
16386.9525740927,64959.523
16.472691,114.00383
4082.0,2913.9443
5050.0,5318.186
2091.0,2409.345
12305.0,11360.037
1013.0,1159.5486
301.0,392.92007
323.0,113.39787
248.21699422,779.58685
18784.5,21050.768
119.0,192.12039
1.27382369,175.52208
595.46,1461.8862
2701.0,1991.4689
7.0,999.68005
1.0,78.21025
2.08155534,194.48216
2050.0,6602.2197
321.0,1326.0408
16251.0,13980.2
10268.66,11748.361
8528.19510374,7311.0586
1325.0,1593.8717
53.9731913,156.3953
343.0,621.8094
831.0,335.39496
120.0,228.37933
1305.0,1773.8624
10.0,284.50397
5175.0,6019.4653
13.0,371.3763
10248.0,11939.78
11141.0,6683.019
705.0,477.43097
2100.0,2380.5312
12.5510041,179.16913
25231.0,21136.8
2242.0,3183.6638
7090.0,3674.5354
1.24855947,188.326
1144.5679724,1430.6163
21311.1388848,29210.445
198.936354,912.3056
1580.0,399.41605
2975.0,1534.8816
5285.0,6685.816
0.0,101.24733
81.0,55.75108
0.0,446.5732
2721.0,2436.254
0.0,223.41577
1262.4296424933,1361.1919
66972.2640235968,120570.84
2376.6559596,1921.3446
837.0,2600.837
3530.77,2496.994
728.903248,1219.262
5640.77,6187.716
5030.1922444,1259.1042
98.219681592,1140.7888
3.38145138,466.13306
101.0,407.5811
2081.0,1975.2368
2040.0,2045.6721
1346.59732,1043.5662
594.0,435.55933
2938.0,4085.2527
80.59515048,328.01883
0.0,69.6929
826.11025281,973.5229
1931.0,1939.6986
1385.33,2095.9014
1119.10912025,1213.4619
32741.5911738,43066.836
11456.37557018,14739.643
2725.0,1217.1575
733.5601416,521.4576
11449.0,9871.276
4561.0,15628.312
1191.0,2414.6204
73506.0,53784.5
39751.3158465291,72789.586
4390.0,2683.4111
10936.0,11580.381
10.8930207,328.96048
214259.0,279675.78
243958.0,133419.53
967.0,1135.4214
2037.0,1726.7467
42997.0,28705.375
38.9598947709,661.67084
168517.04,444806.28
4670.0,4383.438
125.0,549.6411
5068.0,5760.4126
2967.0,3083.6582
4316.0,5269.631
176.05,2595.4363
5001.0,4309.317
30363.0,17243.14
5307.010146,5993.9536
1463.0,986.49225
20604.0,23664.686
5586.0,5512.367
182048.08301036,133207.69
300.71263172,522.1882
5000.0,5131.8877
68498.99470206,99209.17
17.594508336,54.524437
406.0,978.27155
113.0,556.74
5280.0,4563.234
23432.0,32233.068
75489.0,101918.55
4061.0,3613.3018
32165.0,39635.37
717.0,1677.8231
2171.0,1544.5422
2687.5556985,3654.8953
3136.0,3045.1743
23758.7456984,24456.39
1811.0,952.2201
5730.0,5697.3174
35053.65,47961.035
1897.0,2471.6592
1635.0,3338.8862
78434.0,48669.207
3442.698189,3209.0928
548.8572024,873.8333
2401.0,2076.36
366199.0,296149.22
4657.50411192,4067.815
1.0,386.71497
2659.63224264,4958.698
2465.0,2046.3793
189.21359688,826.49426
1610.4228211708,1719.2799
3081.0,3816.912
11150.0295041,22387.277
7305.0,6137.606
0.0,81.584015
1213.0,2426.5857
63.0,880.98553
15.15344025,677.04395
0.0,153.51917
5203.0,5614.6914
4440.3625557,4288.8267
158.66695754,622.51874
143.0,96.35685
123075.3856592832,243407.94
3760.53576336,4361.6797
2839.06099656,4298.124
64151.90954754,125251.05
716.0,1128.5651
10885.14633688,14150.322
70075.254943,189586.38
2.21223276,733.6061
1890.0,1737.7067
182159.0,60145.402
436.0,845.5846
13552.0,23147.186
38337.0,50573.195
7593.0,6884.813
80203.0,87699.95
6035.0,7094.9663
0.0,-148.89174
23783.0,27853.85
381377.0,361643.6
5890.6264845,4521.183
1092.91161697,1089.0566
3566.4615348,580.9032
12150.0,12427.152
22893.0,33615.637
5067.92,4411.284
1.0,410.08344
32072.0,71968.47
6128.0,6509.211
1305.0,608.1965
24.44601152,-179.36043
17144.0,20659.824
65.0,300.2944
5305.0,4797.532
1.0,140.2873
62726.9297655,65725.26
43438.3287688269,19351.38
3000.0,2949.6372
2063.0,4129.843
32407.63213869,17776.346
13037.90842361,12643.847
28189.00796453,22337.098
190.7100633,964.4964
24136.0,39932.15
2.24172774,350.266
16046.98346994,13057.611
28678.0,13191.963
6130.0,6322.555
955.0,1050.4337
949.94581212,2722.4644
0.0,166.08742
4554.0,4139.4526
142.0,785.87366
470.0,988.9747
7782.0,5458.471
317135.4,192151.64
5564.38617252,3501.823
7016.04770453,8339.854
4055.0,3571.3823
3456.0,1968.6405
10918.59,11374.386
4500.0,7326.6504
563.0,588.4418
21290.0,32721.709
1327.7894589,798.3599
6.0,1150.7784
21492.0,9165.811
3076.0,3290.704
2190.0,2795.5693
27763.01,64715.086
86628.0,187250.16
13700.0,12166.467
70.0,192.5259
1805.0,805.49023
1.0,310.89136
96.08474943,-99.976456
0.0,159.51347
93928.447957964,120813.84
116.70762028,114.00383
480.18731178,929.0354
28633.0,93932.33
869.48917776,792.14185
754390.0,765018.2
58854.0,86825.5
0.0,-86.27197
3430.83080004,6176.7856
10326.0,17291.252
2988.0,7448.8955
219.05861121,400.7106
1794958.5,1229636.5
6473.0,2553.5557
0.0,327.00256
1714.88963232,3704.9746
2958.90690172,1492.1885
65713.4121028,60462.008
1154.0,3122.434
17033.0,20360.896
35074.87334624,54779.668
11350.0,11573.265
8897.0,5638.4766
12582.0,11773.907
2881.0,2549.831
5433.77,6034.8584
2132.0,2344.066
1020.08,1907.4644
45493.0,40293.76
2045.0,2046.3793
5496.0,19086.416
665.0,1828.5375
7386.0,3631.8337
206016.0,154605.31
8505.0,5197.6157
5264.0,8236.244
5558.07294633,6151.5195
3000.51,3344.5264
3314.2140480683,1327.0753
113.65540343,401.81378
2370.0,2943.1882
1870.0,7876.4126
1572.0,3628.1572
103.20898795,368.32233
857.7686396646,697.7122
11651.24,13541.409
0.0,350.852
4850.02900984,1577.784
35.0,779.5611
634.89711194,855.27936
7854.0,31786.037
268.27996942,905.72516
9.2966525,118.444016
1331.03475722,801.62085
10646.0,14106.157
180.7465946,183.87544
232.80254375,-98.69068
615.0,548.3439
26.0,736.0278
10474.0,27551.25
133.0,549.6254
4770.0,5435.016
2462.0,711.6837
59560.30747128,65827.055
0.0,-19.34918
90583.0,98943.695
11514.0,15171.478
5842.0,5760.4126
1.0,-147.78151
10001.54109468,10785.519
63243.0,59941.312
987.0,2920.1746
238814.50239,245799.39
509.0,816.4849
14232.0,25661.3
79286.0,76135.82
29285.9604077416,31330.684
1.35139883,446.5732
6115.556697,10768.493
25.0,1854.386
401666.78,398908.22
11.0,455.3194
2240.0,2333.2644
10713.0,10211.61
18013.89247632,18407.33
5309.7391381971,5698.0303
3477.23,8222.519
2034.09338271,893.50354
2745.0,2636.5168
37570.60275885,52085.406
1140.0,1118.9255
62367.0,64502.676
118927.27327104,72526.31
448.155121084,1013.1281
10191.0,9807.754
510.0,978.292
58.0689945,874.3056
175463.0,278390.94
2424.6113085,2040.2167
2720.0,2245.0823
8705.7695232,23049.977
3221.83,7594.9937
1102.0,1059.073
3218.0,3224.8826
2306.0,1477.245
137.90929516,249.0256
33912.0,56363.39
74952.0,37857.625
5920.0,11462.49
9497.0,9993.475
854.54060472,1034.7084
44997.0535278,57610.855
22105.01,27829.156
14.0,327.73776
6333.0,6866.0933
35410.0,36570.49
1916253.11,1224092.8
50134.41353576,29937.094
75526.0,153560.47
3115.0,3281.0146
25837.0,27064.73
24894.0,16536.438
18698.13445864,32499.055
63.0,478.09708
103550.0,273140.28
50100.4,58826.676
1.12368262,330.16565
129686.66766648,202269.7
27867.0,25709.512
135931.735661756,201860.3
71193.0,198577.17
405913.0,579535.94
9889.0,9359.133
70.0,416.33542
12521.00493096,20044.854
0.0,750.25226
726.0,384.5139
5240.0,6452.303
71880.0,104773.56
1.0,70.15392
12990.0,13513.734
234.47251008,577.4032
1316.0,1073.0172
31627.6536384,27829.998
56694.38197203,63055.37
11530.089594262,21063.686
569.8762627226,1321.2555
304820.0,109443.44
1166.0,788.0475
7915.0,9674.605
815.23850315,615.77356
10090.13,6034.8584
3448.0,2018.5198
1.0,734.73
1.0,292.11664
1794.0,510.13956
71945.0,48791.875
2226.70228149,3328.5073
1110311.0,368653.97
24771.0,33161.754
263.0,703.517
2913.0,3368.944
15833.0,13950.098
1.0,312.3113
7157.0,16875.568
1.0,139.17207
35.48387106,721.026
26070.1579611,20831.744
2224.0,4291.6255
400.0,935.42377
31200.3,24797.316
95.0,2266.4753
12455.88,14816.857
12060.0,7606.65
167980.3,408540.66
229517.0,251537.4
94825.0,73118.82
10115.9320681,13947.463
1565.0,1407.2681
114920.0,94730.56
9834.0,7353.112
20000.0,18614.322
76327.75,102601.29
149.46439984,322.04846
22187.0,31680.281
8260.0,8419.756
30.0,466.70764
1049.0,1873.5872
73.0,575.1569
24175.0,19487.844
3896.92102999,1267.4219
2.0,487.81155
2121.0,1461.8558
7923.46779093,3852.3586
46327.0,79654.22
16146.0,20157.262
1619.0,2408.2747
2501.0,508.64117
1102.0,740.6353
3587.96915155,727.87354
100826.0,30195.518
0.9335402,417.00903
465.0,946.1269
100589.0,152430.67
13858.0,13770.597
7497.0,10674.54
4497.0,4222.218
3415.1233836,9399.594
5806.0,10707.858
12726.4537387367,9697.968
6243.0,4314.633
3501.0,3570.949
161.0,-71.00115
48893.5833645,56287.23
9722.0,10642.261
176.0,747.8694
144109.63280175,163649.61
919.58773672,1157.537
1.0,250.58499
1017.0,1430.465
8191.0,8002.8135
22286.0,26453.08
1264390.3553924311,1784371.2
635.0,2430.633
76338.0,59982.25
23168.0,28286.201
17752.0,29148.928
17.2130198511,3063.0305
2302.0,1489.2122
112.0,1070.3127
47719.0227502566,44374.254
87529.0,195048.8
84984.214655,129471.57
54.81860475,625.3809
386.23973595,1374.134
10.06977231,207.73792
316.0,439.1305
10112.0,8385.989
360.0,569.8816
21106.98928112,20054.045
456.0,1121.7817
22562.0,27798.322
2604.0,4574.665
53010.03,64373.92
2595.2383176104,5789.607
71.93313075,430.062
7632.8037234,11758.453
203677.09,295600.1
75592.64581502,120447.09
37723.5826992894,18138.906
45043.37237137,62319.645
1748.0,2547.9104
6.0,455.3194
25342.0,45376.273
43.70029104,250.90118
82753.0,60756.27
64709.0,103213.71
1428.48774216,5397.052
205281.9,233540.22
121.0,488.73438
54.0,44.68104
400787.5,358769.4
9949.582972,8835.729
16038.75,15634.027
279743.0,300078.38
19413.24155628,19512.236
17.0,191.86383
392.41006923,914.54724
110.0,1131.7058
2044.0,3013.8757
24167.0,16832.594
1424.52343076,1054.7888
211128.0,170462.17
0.0,1143.0326
363819.757349138,233174.58
72837.44776385,85690.375
10016.0,9807.754
40009.0,83351.86
4972.0,5372.174
310.0,410.08344
8744.0,11265.352
339.0,1327.4886
233228.0,469197.03
1998.81638656,2392.5835
908.3358367794,2220.2615
43670.253085,28426.914
118164.11,75136.39
0.0,779.5611
15037.0,10638.667
4261.7828350716,2581.7058
225.0,1063.526
12051.0,10973.459
51210.0,78717.555
28267.24869072,22142.535
9124.4528606771,12562.733
1832.0,2414.3955
17163.76511438,43109.695
11227.0,17369.883
18769.30980132,17196.387
30.0,292.98615
3180.0,3290.704
42528.0,88121.32
2190.06832704,3888.455
48925.0,12934.274
870.0,879.5157
1.0,321.00333
110.63986716,376.39212
13.0,479.58713
530.0,116.52716
1000.0,251.26498
908.76788505,1274.8004
12185.15,20451.256
0.0,273.7111
6165.18,4053.1372
55.0,167.72842
9750.437894675,12714.653
1.22331641,168.6387
9.97148154,-110.59399
1.0,277.88013
4245.113016,4493.5464
1.0,165.03299
0.4839442,-143.55672
450.310063496,2601.34
21959.0,18948.568
3383.0,2874.7441
0.0,345.01068
6856.0,8530.249
1962.5,1682.4275
345.0,300.87573
1182.16040812,324.01526
117.34112,450.8842
4421.0,11893.199
80.10379679,663.20575
0.0,215.40607
1395.0,1601.9535
4508.95665532,4934.664
129.6695448,190.45659
2180.0,1511.7087
205.0,-18.985394
75.0,269.0249
3.0,313.19952
0.0,281.53055
218.2949916,118.70721
23.0554726,-65.647896
0.0,297.38095
4381.0,9556.776
5630.0,6150.5776
107.0,148.57025
3166.5,1978.3763
15825.0,19743.73
25.0,162.7926
11409.3689999835,23708.314
3773.0,3891.187
13985.22,13292.228
10.0,136.52328
55126.83,70080.28
551.0,1014.3781
196.7838948,2743.0232
641.0,880.0834
329.0,1949.4645
37.0,303.58517
140.0,424.72824
777.0,991.03314
0.0,303.36124
0.0,178.04782
3694.0,3192.3105
2.00329542,296.94815
6011.0,4167.134
46611.08,52329.777
300.0,252.75775
21238.0,9669.341
685.0,1924.4592
5009.36,4085.8735
924.13584,1171.4249
0.0,164.7608
95.3240382,168.8964
800.0,321.61145
2261.7820753,2488.3267
41.0,374.01062
760.0,638.5145
8460.0,8601.105
7.0,-114.21985
16200.0,16545.195
4378.85178201,997.6638
0.74509097,236.30363
1526.0,1612.8505
90.3871927,-108.21408
1.0,-57.71561
3353.01,2747.3835
5393.0,6672.42
214584.07,186622.8
5510.0,5909.1196
352.0,922.3634
500.0,186.83893
255378.43,239350.77
0.0,796.2495
1080.0,1330.6653
875.0,1117.5842
5008.27294877,6569.9727
1.0,168.47858
1362.0,1029.3293
16248.0,18339.217
319167.3276344,394277.53
1020.0,1330.6653
7241.78218155,2657.198
24584.0,20105.055
75.0,184.34909
8219.599868,7911.041
0.0,98.89981
16.0,925.83386
0.0,-64.33957
29229.0910626,37038.27
3967.0,4335.65
13143.0,24243.223
495.0,908.38666
4387.71,4504.628
20078.01,20980.92
36910.34,52580.598
815.68627504,1779.3851
1.0,218.38783
42.0,-138.94846
3201.0,3703.3064
5696.0,5498.6514
600.22127565,666.9725
495.7697886,757.82135
11709.8101036,12038.969
2095.0,1786.8347
1000.0,1436.6255
952.0,1057.6455
0.0,461.53683
10022.0,3986.481
81.0,274.45526
0.0,154.61977
34.10669034,85.74869
16208.0,11081.397
126.0,-36.298054
1718.0,2575.617
3000.0,2511.6216
3510.0,3749.768
286.0,313.4187
4.3492506,103.770775
10.5999014,721.026
36785.0,44697.254
10.0,839.4137
10338.7782785,7550.412
12664.0,14345.488
2554.17677865,2091.0994
877.0,1155.3826
31044.12114491,37146.49
10194.73760012,11013.238
30.0,290.1248
36111.0,37830.438
12660.0,11079.542
68838.4256029028,58440.77
5007.0,7492.779
4239.530196,4737.758
2090.0,2052.5398
210.0,208.75961
4280.42684124,2202.4158
125.2968684,288.3087
7641.0,6280.572
51.0,189.4923
12230.0,14625.881
1730.0,1223.4773
515.0,970.47595
688.59649244,1651.6194
658.49482575,943.2397
0.0,289.8526
0.0,286.13522
22323.01,20029.46
9753.0,9319.155
846.77246676,777.70197
24676.01,42564.992
1.0,251.1546
6.43691184,359.14322
16.0,-111.51338
4763.0,3917.5334
1.30264476,427.62854
100.0,-59.50747
3076.69,3454.3345
1854.0,2354.765
56500.0,62785.8
12195.0,12477.901
0.0,297.38095
123.4121296,757.60004
420.0,1035.4053
5575.6136773376,4358.1553
0.0,175.29123
4147.775706087,6780.097
1.19895451,-103.94122
147.74984785,1084.8915
2.0,322.4426
48.0,313.19952
118.0,358.9587
695.0,1091.16
1536.0,1578.916
177.623259,276.2255
200.0,176.02448
5591.0,5926.19
307.58551945,892.25653
201.0,502.81036
1.0,165.03299
218.8391765,188.06761
255.636792,922.3634
0.0,-76.133575
0.9769012104,-2.443109
50.99226297,245.22238
375.4098965253,845.96735
0.0,229.16599
0.0,173.2877
20.0,-67.44548
0.0,115.40585
1273.0439628,1878.6921
851.65070516,1132.1959
7.0,259.82693
620.0,482.8216
0.0,89.014755
3423.32,4032.9368
37282.0,42396.75
1.0,94.41133
12433.0,17129.256
130.0,43.19443
10462.3030368,7626.4004
261.0,231.80124
0.0,253.60727
17706.37712344,17577.992
586.8031336041,1063.526
2.0,72.388306
