batch_size,hidden_layers,layer_units,learning_rate,normalize,one_hot_encode,epochs,data_path,device,val_loss,train_time
32,4,16,0.04755004686415558,True,False,10,data_preprocess\cleaned_ico_dataset.csv,cuda,"(25.848720411140484, [array([2465.78045654, 1395.82739258, 1746.36218262, 1526.39367676,
       1770.45373535, 1560.60742188, 1843.31738281, 1293.84042358,
       1268.89596558, 1686.40997314]), array([424.13230896, 504.40115356, 434.16586304, 524.0004425 ,
       382.16575623, 545.2434845 , 429.37522888, 403.45822144,
       431.60467529, 515.42018127]), array([ 935.00537109,  803.53294373,  746.58926392, 1348.50630188,
        754.58023071,  715.63157654,  686.5493927 ,  686.66413879,
        721.61131287, 1385.47091675]), array([577.88792419, 979.16107178, 845.61026001, 882.26345825,
       842.35339355, 479.51742935, 805.23027039, 575.61184692,
       843.03048706, 558.54116821]), array([980.41064453, 868.56140137, 883.73565674, 867.48062134,
       639.03666687, 817.99514771, 748.26644897, 523.65319061,
       656.31484985, 657.38034058])], [array([745.09625244, 747.16470846, 703.37820435, 669.54705811,
       678.77419535, 658.70249939, 687.35042826, 610.77805583,
       660.88799032, 627.10686239]), array([1031.57313538, 1045.94155884, 1211.74009196, 1031.99958293,
       1011.27494303, 1061.1449585 ,  983.79773966,  936.0154012 ,
        904.27011617,  966.56330872]), array([990.45555623, 911.65617879, 952.45840963, 866.87365723,
       966.28420003, 871.32728068, 866.13578288, 937.27613322,
       958.83998617, 958.76833089]), array([ 989.74602254, 1030.96601359,  938.33359782,  953.09463501,
        955.81628418,  968.25452677,  891.83321126,  897.07168579,
        875.75737   ,  877.47312419]), array([1014.14668274,  947.30003866, 1068.2313741 ,  972.01434326,
        915.56681315, 1014.36294047, 1022.4537913 ,  886.39493306,
        842.50653585,  848.24798584])])",3.186431407928467
32,4,16,0.04755004686415558,False,True,10,data_preprocess\cleaned_ico_dataset.csv,cuda,"(26.296071173202247, [array([ 941.45650482, 1353.73632812, 1032.88494873, 1024.66503906,
       1678.27365112,  947.49150085, 1011.80072021, 1097.48062134,
        977.54260254,  939.45495605]), array([613.49598694, 965.74615479, 699.70774841, 660.00595093,
       652.11679077, 718.77069092, 653.71923828, 659.43629456,
       854.09243774, 643.40782166]), array([1174.72329712, 1374.03814697, 1131.25372314, 1222.19180298,
       1007.62420654, 1245.79187012, 1221.36120605, 1281.16247559,
       1134.3270874 , 1199.07318115]), array([658.79962158, 571.93658447, 718.78549194, 674.92733765,
       498.63757324, 516.4412384 , 687.07290649, 497.36126709,
       501.52110291, 447.2379303 ]), array([449.6037159 , 492.19512939, 842.65171814, 912.32289124,
       556.57522583, 499.1385498 , 615.13134766, 540.16468811,
       557.15078735, 744.74098206])], [array([859.61848958, 924.92686971, 835.46655273, 809.98479207,
       800.38495382, 746.24924215, 745.81784058, 737.6744105 ,
       723.23434957, 733.78137207]), array([ 966.72024536,  937.27129618, 1136.01472982,  929.85481771,
       1103.13856506,  879.04214986,  861.74482727,  911.92171224,
       1037.42610168,  835.21266301]), array([834.57074992, 836.75444539, 776.46716309, 917.24026489,
       813.00739543, 749.34172567, 789.76458232, 737.86160278,
       715.19614156, 696.18759664]), array([1033.75543722, 1129.91029358,  973.73294576,  951.47730509,
        951.42315674,  971.08839925,  976.23519897,  902.48090617,
        940.34294128, 1021.24373372]), array([ 983.46076965, 1037.42902629, 1136.19083659, 1085.81216431,
        961.73071289,  961.11474609, 1149.64165243, 1061.98292542,
        895.00109355, 1009.84746806])])",1.446669340133667
