y_true,y_pred
5507.77,9937.182
1.32234378,9937.119
1119.0,9933.744
1236.49437621,13012.899
0.0,9937.119
766.0,9937.382
21691.0,21314.02
376256.5,23170.064
54.67264433,19837.264
11660.0,22706.916
2888.9025673431,10990.928
3313.0,26787.768
38.0,9937.119
36742.0,21830.256
25771.0,11258.89
3338.0,9937.119
34.0,9937.119
205.0,9937.119
2309.0,25385.545
252.0,9934.35
11530.0,23616.99
1852.0,9937.119
3752.78,9937.119
56.66,9937.119
532.0,9937.119
16.0,9937.119
2870.0,9937.119
0.0,9937.119
20918.0,24902.367
131169.0,22156.516
1169.0,24749.06
630.60760976,21965.91
30.0,9937.119
128813.39,9937.119
1.0,9937.119
1145.0,9937.378
256.0,9937.316
1390.0,9937.307
975.0,25594.783
5156.0,21709.371
2020.0,9937.119
1489.27,9937.119
1.0,11224.285
2611.38336888,20337.773
4537.0,10083.54
1876.0,23447.785
483.685113,9937.258
36563.5891711884,21718.463
2000.0,9937.119
15952.0,26397.23
510.0,9937.119
5454.12,9937.377
200.0,9937.119
4142.0,10254.883
90.0,9937.119
3098.8222126,9937.119
9044.1326084,21229.715
363.13361118,25530.807
80352.96494652,9932.754
2734.0,20698.229
0.0,9937.119
1415.0,22793.156
1.2108106,26636.902
3406.0,9937.119
27967.7095,9937.119
8153.7037869,19306.494
6342.25,9937.119
1937.0,9934.877
999.37920992,21312.768
21521.4520565,9935.558
914.92429651,12148.023
0.0,9937.119
40506.0,24022.082
0.0,9937.119
2.0,9937.119
0.0,9937.119
0.0,9937.119
15038.0,26888.428
3238.05957075,27039.586
717.0,9937.119
271.26169695,9937.225
1653.88856747,9937.289
47.0,9937.119
205.0,9937.119
40292.0,23850.404
3057.2376541773,24745.959
44.0,9937.16
15846.0,9937.119
1205.88734075,9937.282
3025.0,9937.119
1246.3157687,9937.231
17048.0,9932.71
216.497076,9937.119
400.0,9937.119
833.70547459,9937.119
86984.0,9937.119
84868.0,21086.293
646.0,20525.588
468.3767616,9937.119
1.26635979,9937.142
2882.4249617,9937.119
13021.0,19517.332
1752.0,9937.119
10624.0,9937.119
18825.15259716,9937.191
23218.46503539,9937.119
1.277286,15961.424
135074.5,27260.98
285.0,9937.183
6.0,9937.119
22968.0,21259.752
11623.92135072,13040.97
24972.0,27183.29
10435.0,10049.201
2900.0,9937.119
1027.0,24856.02
