y_true,y_pred
5507.77,17958.428
1.3223438,8001.9873
1119.0,16968.125
1236.4944,11195.045
0.0,8890.814
766.0,16604.434
21691.0,20747.559
376256.5,57230.84
54.672646,10544.492
11660.0,35167.223
2888.9026,14510.924
3313.0,12974.598
38.0,8857.018
36742.0,50928.656
25771.0,15801.744
3338.0,18330.99
34.0,8428.848
205.0,8994.176
2309.0,12989.4
252.0,8778.21
11530.0,39669.984
1852.0,17491.158
3752.78,17308.54
56.66,8999.337
532.0,8467.344
16.0,8442.196
2870.0,17974.89
0.0,8060.646
20918.0,18762.8
131169.0,43655.18
1169.0,12653.924
630.6076,13009.564
30.0,8833.49
128813.39,57027.727
1.0,8834.311
1145.0,13067.326
256.0,8864.909
1390.0,17408.287
975.0,17003.297
5156.0,13435.894
2020.0,17397.164
1489.27,18355.982
1.0,8968.098
2611.3833,20595.61
4537.0,19178.059
1876.0,18162.86
483.68512,7749.1387
36563.59,36319.01
2000.0,17059.531
15952.0,16599.29
510.0,17060.014
5454.12,18744.377
200.0,17124.469
4142.0,14630.182
90.0,8850.038
3098.8223,9104.468
9044.133,17250.38
363.1336,17014.057
80352.97,48730.26
2734.0,17861.23
0.0,8276.484
1415.0,16863.693
1.2108105,7571.9307
3406.0,18788.805
27967.709,20490.48
8153.7036,14029.529
6342.25,19133.156
1937.0,16877.004
999.3792,12372.762
21521.451,23299.117
914.9243,17573.805
0.0,7611.1597
40506.0,25878.754
0.0,8558.947
2.0,8842.489
0.0,8814.072
0.0,8936.382
15038.0,17781.283
3238.0596,19292.27
717.0,9035.244
271.2617,15100.131
1653.8885,15419.713
47.0,8861.738
205.0,8863.613
40292.0,31072.533
3057.2375,13157.249
44.0,8836.529
15846.0,21028.766
1205.8873,7959.713
3025.0,17141.383
1246.3158,7749.1387
17048.0,27259.117
216.49707,13611.507
400.0,9118.568
833.70544,9229.502
86984.0,21750.75
84868.0,67692.31
646.0,12791.5625
468.37677,8010.775
1.2663598,7880.505
2882.425,18163.41
13021.0,16042.854
1752.0,9116.849
10624.0,19123.398
18825.152,14500.184
23218.465,21094.115
1.277286,7535.4976
135074.5,58042.82
