y_true,y_pred
5507.77,7975.7812
1.3223438,3839.7944
1119.0,6218.7866
1236.4944,5628.5747
0.0,3840.5908
766.0,5302.9155
21691.0,11726.051
376256.5,71590.98
54.672646,4189.986
11660.0,22786.568
2888.9026,7710.316
3313.0,6097.709
38.0,3735.4094
36742.0,40160.883
25771.0,13253.17
3338.0,8459.833
34.0,3647.4487
205.0,3837.2485
2309.0,6344.2144
252.0,3980.5361
11530.0,26950.562
1852.0,6828.592
3752.78,6930.167
56.66,3775.4307
532.0,3727.7913
16.0,3645.0808
2870.0,7435.7534
0.0,3743.623
20918.0,16260.142
131169.0,30895.414
1169.0,4987.9346
630.6076,8859.053
30.0,3705.542
128813.39,53818.04
1.0,3829.799
1145.0,6269.4565
256.0,3803.2637
1390.0,7641.757
975.0,7486.759
5156.0,7238.805
2020.0,5844.762
1489.27,8836.32
1.0,3734.1843
2611.3833,10731.882
4537.0,10678.414
1876.0,9857.155
483.68512,3334.3486
36563.59,25323.066
2000.0,5370.8477
15952.0,14359.783
510.0,5378.8535
5454.12,10337.965
200.0,4836.7734
4142.0,11326.703
90.0,3703.4648
3098.8223,4555.6743
9044.133,13091.021
363.1336,5558.9233
80352.97,36916.523
2734.0,9261.78
0.0,3908.4521
1415.0,7118.6763
1.2108105,3687.536
3406.0,9722.227
27967.709,7787.3965
8153.7036,10060.075
6342.25,8501.517
1937.0,6019.1777
999.3792,6344.8916
21521.451,13425.236
914.9243,5788.8247
0.0,3646.0928
40506.0,16206.222
0.0,3795.6685
2.0,3843.9531
0.0,3803.1245
0.0,3736.7441
15038.0,9027.775
3238.0596,9788.771
717.0,4071.3042
271.2617,5076.1357
1653.8885,5521.1953
47.0,3919.7644
205.0,3747.189
40292.0,19535.438
3057.2375,8758.683
44.0,3842.6223
15846.0,11578.244
1205.8873,3829.2456
3025.0,5097.0723
1246.3158,4810.668
17048.0,16856.672
216.49707,4210.1675
400.0,4012.4155
833.70544,4493.3687
86984.0,11779.6
84868.0,65571.1
646.0,5504.7944
468.37677,4059.752
1.2663598,3802.568
2882.425,9937.822
13021.0,8578.039
1752.0,5191.804
10624.0,10191.129
18825.152,10185.493
23218.465,14725.11
1.277286,3855.1067
135074.5,47519.773
285.0,3820.3535
6.0,3965.409
22968.0,16728.69
11623.921,10555.988
24972.0,21240.701
10435.0,10309.893
2900.0,7171.9316
1027.0,5024.612
10674.7295,8028.3027
287.0,4046.6309
430.0,4607.328
6500.0,7886.9233
235.0,3964.5793
4754.0,10439.767
64.0,3871.3542
18143.0,13539.227
175.0,4616.011
6221.0,7922.0312
1065.8353,4959.7676
13476.499,16209.413
0.0,3684.2673
0.0,3779.5586
104573.26,44744.484
12876.375,11236.184
1433.4216,6652.911
2900.0,6383.4673
0.0,3844.4153
43.95218,4110.9023
79800.77,16268.43
2688.5532,8518.054
0.0,3734.8945
331.0,3974.5146
1021.4006,11771.783
0.0,3704.4756
29792.0,17891.986
603.7436,5301.8535
55.0,3876.3188
601.15106,6303.955
25.0,3807.3398
152.38385,3819.9648
37.0,3980.7256
1.0,3862.4336
4605.656,9101.252
0.8395328,3295.5928
3035.0,5780.0957
5538.9854,5796.0093
190.0,3859.5894
10.0,3747.4243
3821.0,9411.629
2157.0,4101.624
5730.0,7862.771
26508.0,10700.145
22.0,3805.2886
870.0,5505.929
0.0,3615.7046
35474.0,28151.352
2821.0,5717.576
2778.0,7703.8584
